video_id,title,description,channel,published_at,duration,views,likes,comments,channel_id,category_id,language
GwQE4SNUCI0,making remote control auto rickshaw #experiment #electrical #shorts ￼,making remote control auto rickshaw #experiment #electrical #shorts,A Creation shorts,2025-06-30T04:47:07Z,PT37S,4737454,0,85,UClt7WFsFvqxkCE88kGmw47A,28,hi
9gV8dKZMhIw,Mahindra XUV 7xo AWD Off Road Test & Awd Settings - How to Activate AWD in XUV 7xo ? All Details !,,MRD Cars,2026-01-22T07:18:57Z,PT6M13S,9053,211,13,UC0JAnCX8_2vp1aq3q8rVU4w,2,en
3usnoKMWWXc,Hana New Sound😘💕Like hana or gTr #automobile #hana #jdm #supra #gtr35 #dodge #car #edit,,Zan Otomotif,2025-12-18T10:50:11Z,PT19S,1975537,9157,64,UCe_9z9omin6t8gdVQGPghUA,22,en
exPUXOzNspM,SOY UN AUTO 🤑🚗#automobile #memes #movimientoelamorhacealmundogirar #humor #roblox,,jesusito play,2026-01-04T16:55:52Z,PT8S,233064,3973,289,UCpeZB_LglIU6M4sLSQIwPLg,20,es
47Dr8yB3Q1g,Police wala 🤪 Bike Pakad 🤬 #viralvideo #automobile #shortvideo #shortsfeed #tranding  #motovlog,Police wala 🤪 Bike 🤬 Paked  liya #viralvideo #automobile #kawasaki10r #motovlog #shortvideo #motovlo #kawasaki10r #viralshorts #tranding #shortsfeed #trandingshorts #1000subscriber #10million,sarna rider02,2026-01-23T01:49:18Z,PT37S,48919,1118,0,UC1PKoGHjtW3mVytYdBSpJiA,24,hi
omZ23MLBWsI,Nova atualização do elite auto Brasil !! Agora os portões se abrem !!,,TGS_244_,2026-01-08T20:35:40Z,PT4M43S,59562,1243,70,UCZUWMH-g4KBM2OUB7j2EE7Q,20,pt-PT
H1FKv6sLSUQ,Französische Autos: eine Katastrophe? #peugeot#renault#citroen#mercedes#bmw,,Der Autoprofessor,2026-01-16T17:48:01Z,PT50S,24235,497,18,UCcESdfDjSq1oLs9EDkI8A9A,22,de
re2w4WGlGCo,La voiture la plus rentable du monde,"👍🏻 Si tu likes tu régales ! 👍🏻
👉🏻  Encore plus de vidéos sur la chaîne Youtube !
🖊️ Source : https://www.turbo.fr/actualite-automobile/insolite-la-mclaren-f1-de-rowan-atkinson-vendue-pour-plus-de-10-million-deuros-110493",Simon Puech,2026-01-06T16:29:31Z,PT1M12S,1061010,31540,250,UCMQSwUNSnMOP4IRysfeg8EA,24,fr
9QwkbK0sDBQ,1999VS 2025 🥶🥵😱 #fyp #shorts #viral #fyp #shortvideo #old car #vs #shortvideonew car,1999VS 2025 🥶🥵😱 #fyp #shorts #viral #fyp #shortvideo #old car #vs #shortvideonew car,CRAZY SHORTS VIDEO ,2026-01-23T14:03:00Z,PT12S,580,0,2,UC_bxKhcj9UU_gjv-CT4k0jg,22,es
qJR4JkVqsJA,CES AUTOS VONT FAIRE MAL EN 2026 🤯,"👉 Pensez à vous abonner à mon compte Insta @gregory_galiffi et à cette chaîne YouTube ! Ainsi qu'à liker et booster cette vidéo, cela m'aide énormément !

💬 N’hésitez pas à laisser un commentaire pour me donner votre avis !

Présent au Motor Show de Bruxelles (Brussels) 2026, je vous ai fait une sélection des autos les plus dingues, les futurs best-sellers... Elles méritent qu'on y jette un oeil de plus près ! 

#automobile #brussels #moto #exclusive #news #motorshow #auto #car",Gregory Galiffi,2026-01-15T17:01:31Z,PT54M12S,57567,2926,330,UCxqrJ-iX5AceEQPLwRmj2GA,22,fr
IKWjokuz8so,"80000 юаней, вот это цены🫡 #automobile #lada #travel #china #shortvideo #shorts #youtube #2026",,MonkeyTrip,2026-01-23T11:26:00Z,PT1M50S,1067,26,9,UC2n7KGT-7TNVaG1a5_z9tDQ,19,en
euagSYJ44FY,#shorts #automobile #lifeisbutadream #duet #reaction #facts #car #reels #youtubeshorts,"#shorts #automobile #lifeisbutadream #duet #reaction #facts #car #reels #youtubeshorts 























😂 Get ready to laugh out loud! This hilarious video will brighten your day and leave you in splits. If you enjoy funny moments, crazy antics, and pure entertainment, then this is for youl Watch till the end for the best laugh.

Don't forget to:
👉 LIKE if you laughed
👉 SUBSCRIBE for more epic content
👉 SHARE to spread the joy!

🔥 New videos every week! Stay tuned for more!

#funnyvideo #viralvideo #comedyshorts #funnymoments #laughoutloud #আজকের_খবর  

#publicratify 📺 

1. ""When Life Gives You Lemons... Make a Comedy Show!""
2. ""Why Adulting is Just a Series of Awkward Moments""escription
3. ""You Won't Believe Wh lat Happened Next!
4. ""Warning: This Video Will Make You Laugh Too Hard!""
5. ""Epic Fails That Will Make Your Day Better""
6. ""Trying to Act Normal... But Failing Miserably
7. ""How NOT to Do Everyday Things - Comedy Edition!""
8. ""The Funniest 2 Minutes of Your Day!""
9. ""If You Don't Laugh, You're a Robot!
10. ""This Will Be the Funniest Thing You See All Week!'' 



#nationalday #tamilduets #unfrezzmyaccount #tamilmusic #tamil #foryou #fpy @Publicratify 


#duet 
#news 
#publicratify 
#publicratifyofficiale 
#khobor 
#ajkerkhobor 
#whatsappstatus 
#viralvideo 
#রাজনীতি 
#আজকের_খবর 
#bangladesh 
#trending",Public Ratify,2026-01-21T07:30:22Z,PT23S,704642,21200,339,UCU-vjNalnUm7YiYEVa0uZJw,22,N/A
