video_id,title,description,channel_id,category_id,language,channel,published_at,duration,views,likes,comments
eVrbPNIHfHY,LES JEUNES EN SALLE DE SPORT💪🤣#humour #shorts,,UCpsvoU1qL4WLR6jvh1CWjhw,22,fr,Le déraciné,2025-06-16T16:01:04Z,PT11S,2640830,49359,450
kMPxRclSRrE,Je ne suis qu’un homme!!! #humour #lol #love #couple  #funny #blague #aurore #familia #drole #fun,,UCcIk1sZMBTu91ZxUHLr-BOg,23,fr,Kévin Lévy ,2025-12-14T16:31:40Z,PT26S,919082,8487,144
E9CnEeOdESk,Sacha Ferra – C'est son style,"Sacha Ferra – C'est son style

𝙀𝙉𝙑𝙄𝙀 𝘿'𝙀𝙉𝘾𝙊𝙍𝙀 𝙋𝙇𝙐𝙎 𝘿𝙀 𝙍𝙄𝙍𝙀𝙎 ?

😂 𝙉𝙤𝙨 𝙨𝙠𝙚𝙩𝙘𝙝𝙨 : Regardez les derniers sketchs du Montreux Comedy ici ➡️ https://youtube.com/playlist?list=PLE2tfoAKAJ6y2fCR8GepOV8Ow-XkFl_Ri

😍 𝙉𝙤𝙨 𝙨𝙥𝙚𝙘𝙩a𝙘𝙡𝙚𝙨 𝙘𝙤𝙢𝙥𝙡𝙚𝙩𝙨 : Découvrez les Galas Montreux Comedy en intégralité ici ➡️ https://youtube.com/playlist?list=PLE2tfoAKAJ6wV81woPdc1tyl7B5y83TOR&si=MnfYO8k2qFwMGb0M

😂⚡️😂  𝙋𝙪𝙣𝙘𝙝𝙡𝙞𝙣𝙚𝙨 : 2 artistes ont pour mission de deviner la chute de blagues mythiques entendues au Montreux Comedy Festival. À voir ici ➡️ https://youtube.com/playlist?list=PL40TWjlepv_qRz4d1wM-k2mHKfZKtXgjQ

_____________________________
Envie d'assister à la prochaine édition du Montreux Comedy Festival ?
🎫 https://bit.ly/BilletterieMCF25

_____________________________
⬇⬇⬇⬇ Abonne-toi ! ⬇⬇⬇⬇ 
Montreux Comedy sur YouTube : https://www.youtube.com/@MontreuxComedy
Montreux Comedy Encore sur YouTube : https://www.youtube.com/@LaReleveParMontreux
Facebook : https://www.facebook.com/Montreux.Comedy.Festival
Instagram : https://instagram.com/montreuxcomedy/
TikTok : https://www.tiktok.com/@montreuxcomedy
Threads : https://www.threads.net/@montreuxcomedy
X (ex-Twitter) : https://twitter.com/MontreuxComedy

Le sketch a été capté lors du Montreux Comedy Festival 2024.

#MontreuxComedy #Humour #Sketch #Comedy #StandUp",UCPHJfLg1VeNBsfzzTszpmmQ,23,fr,Montreux Comedy,2025-10-08T16:00:32Z,PT10M29S,143065,4670,81
9qnIkeqYWtE,Por favor comparte con tus amigos #pov #herramientas #sketch #gracioso #actuación #historia,,UCUnw7mc6iHy8vZe8mvMKlUA,22,en,Mai Nguyên,2026-01-22T10:03:17Z,PT58S,1522,47,15
hTKWX0cQtiE,Le dialogue le plus WTF jamais entendu ? #humour #humoristefrancais #standup  #drole  #comédie,"C'est un papier qui tombe à l'eau. Et il crie, Je n’ai pas de pieds ! ! Est-ce qu'il y a 123 yeux et 2 dents ? Un 123 pattes ? Un autobus de personnes âgées.
#humour #humoristefrancais #standup  #drole  #comédie",UCIQs0qjGOmjV2jTkazCvXyQ,22,fr,comedyUp,2025-12-20T22:08:50Z,PT17S,523750,2404,3
jrsCGK0lZk4,@OdahSama - Quand on prendra l’avion en 2030 ✈️ #shorts #animation #humour #drole #sketch,,UC8Sgg29FRGBWuwrAeMkOAYA,23,fr,Koda,2025-08-12T14:30:28Z,PT1M1S,1175054,57128,662
I_bFzhJqkn8,"Sketch, King Hendrick$ - Couldn't Decide (Official Music Video)","WATCH ME LIVE: https://www.twitch.tv/thesketchreal

FOLLOW MY SOCIALS!

🔴MAIN CHANNEL: https://www.youtube.com/@UCVi6sLM51K8kidu61o0DR_g 

🟠INSTAGRAM: https://www.instagram.com/thesketchreal 

🔵TIKTOK: https://www.tiktok.com/@thesketchreal

PRIZEPICKS 💰- Signup today using code “SKETCH” & get $50 in lineups instantly when you play $5! You don’t even need to win to receive the $50 bonus, it’s guaranteed!

https://prizepicks.onelink.me/ivHR/SKETCH


#sketch #thesketchreal",UCVi6sLM51K8kidu61o0DR_g,24,en,The Sketch Real,2026-01-14T03:34:46Z,PT3M53S,42185,3769,226
FPZaYLSlLJM,A Game so Underrated It's Illegal,"ovakeel
PLAY: https://www.roblox.com/games/74996816424339/OVERKILL

►Code: sketch

►Twitter: https://twitter.com/Sk3tchYT

► My Brother BANDI: http://bit.ly/2tgFP79",UCfw6CRDOg5xQsB-2QNC_KUA,20,en,Sketch,2026-01-04T17:00:23Z,PT10M27S,290261,10214,1232
GuFfrh3M83Q,Vous auriez réagis comment 😂😂😂 #humour #drole #sketch #manageur #manageuse #travail,,UCPSUhJ3QJWOzQDZ4RZ0v_3A,22,fr,igf,2025-12-28T08:44:04Z,PT39S,1787389,27261,33
TqlDug_HOrM,How to Draw a Beautiful Woman in Saree - Backside || Pencil Sketch for Beginners || Girl drawing,"How to Draw a Beautiful Woman in Saree - Backside || Pencil Sketch for Beginners || Girl drawing
drawing for girls, drawing of girl, girls drawing, girl drawing, drawing neelu, easy drawing, drawing, how to draw a girl, drawing girl, pencil drawing, girl drawing easy, simple drawing, girl draw, drawings, drawing pictures, drawing video, girl easy drawing, pencil art, Beautiful Woman in Saree, girl with saree sketch, girl backside sketch, girl wearing saree

🤞Any questions contact me.🤞
Instagram https://www.instagram.com/drawingneelu
Facebook https://www.facebook.com/Drawingneelu
Pinterest https://pinterest.com/drawingneelu

Disclaimer
You may freely use my content as long as you give me credit...

YOUTUBE CHANNELS:
▶️ Main Channel: www.youtube.com/@DrawingNeelu
🎦 Vlog Channel: www.youtube.com/@drawingneeluvlogs

Use Materials
1. Double A Paper
2. Doms Zoom Ultimate Dark
3. Blending Stump
4. Push up Eraser
5. White Gel Pen

#DrawingGirl #pencildrawing #pencilsketch",UC9b62Wp7xG7fcVRvJTzxA9w,27,en,Drawing's Neelu,2025-12-15T12:35:41Z,PT8M26S,134968,1157,41
