video_id,title,description,channel,published_at,duration,views,likes,comments,channel_id,category_id,language
A3rT0uLvwiY,Décoration des lions #football #can2025 #senegal #chapionafrique,,Sn_foot,2026-01-21T11:44:36Z,PT44S,3597,54,0,UC3Jf07W7T-xRFKtxEsHeCiQ,17,fr
e9sSU1P2F4Q,Routine ménage intense du soir + Comment gardé une maison propre et ranger,"Dans cette vidéo, je partage ma routine ménage intense du soir pour garder une maison propre et rangée. Suivez ces conseils pour maintenir une maison propre et accueillante!
#motivation #motivationménage #organisationmaison #ménage #meuble #nouveaucanapé #décorationdenoël #vlogmas #aprèsnoël 
Hello j'espère que vous allez bien, je vous partage ma vidéo de ménage routine du soir, n'hésitez pas à vous abonner, a bientôt
Motivation ménage du soir, Organisation rangement intense, Ma routine ménage du soir, ménage en profondeur, routine ménage, rangement cuisine, maison propre, menage, routine, ménage, organisation, routine menage, rangement maison, grand rangement Ma routine ménage du soir,Motivation ménage du soir,Organisation rangement intense,grand rangement maison,maison propre,menage,ménage,ménage en profondeur,organisation,rangement cuisine,rangement maison,routine,routine menage,routine ménage,clean with me 2025,retour de courses,organisation maison,routine quotidienne,motivation ménage et rangement,cleaning routine,menageroutine,routinemenage,morning routine,nettoyageenprofondeur,nettoieavecmoi,routine du Ma routine ménage du soir,Motivation ménage du soir,Organisation rangement intense,grand rangement maison,maison propre,menage,ménage,ménage en profondeur,rangement cuisine,rangement maison,routine,routine menage,routine ménage,clean with me 2025,retour de courses,organisation maison,routine quotidienne,motivation ménage et rangement,cleaning routine,menageroutine,routinemenage,morning routine,nettoieavecmoi,routine du soir,routine ménage du soir
00:00 Nettoyage en profondeur chambre parental
06:57 Ménage de chambre Darly
11:34 Rangement entrée
13:01 motivation cuisine
14:25 Paaser le balai
15:31 Aspirer le tapis
16:30 Placer la table
17:40 Rangement cuisine
20:38 Faire la vaisselle
21:25 Nettoyage du four
22:32 Nettoyer comptoir
23:40 nettoyer l'evier
24:54 balayer le sol
25:27 Moper le sol
28:29 rendu final
29:32 fin de la vidéo",Daina🇭🇹la maison,2025-01-24T05:53:11Z,PT30M52S,904,17,1,UCKqW_Kgq4vjN6wcttCf-AYg,26,fr-CA
lSqB0zUahf8,Petit récap de quelques-uns de mes articles coup de cœur😊 #organisationmaison #decorationinterieure,,Pause deco ,2025-08-22T13:17:41Z,PT1M29S,50169,1228,28,UC3Zj1CZyfEUlzcchJQXDB_Q,22,fr
odVAXvbsqQs,COMMENT GARDER SA MAISON PROPRE 🧽Motivation vous et moi👍,,Nath la chtit 🌸🌹,2024-07-15T09:20:35Z,PT33M6S,509,59,27,UCDvnNJ7o6njrwf4n6fQj2ng,24,fr
giez-2OkYsw,Un service de nettoyage régulier pour une maison propre en continu !,"Avec notre service de nettoyage régulier, profitez d'une maison impeccable toute l'année sans lever le petit doigt ! Nos experts en ménage viennent chez vous régulièrement pour s'assurer que votre maison reste propre et bien entretenue. Que ce soit hebdomadaire, bihebdomadaire ou mensuel, nous avons la solution pour vous.

Fini les corvées interminables ! Avec notre service d'entretien ménager régulier, bénéficiez d’un nettoyage en profondeur de votre maison de manière constante. Nos professionnels veillent à ce que chaque recoin soit propre, pour que vous puissiez profiter d’un intérieur sain et agréable tout au long de l'année.

Gardez votre maison propre sans effort grâce à notre service de nettoyage régulier. Nos équipes de ménage se chargent de nettoyer toutes les pièces de votre domicile, du sol au plafond, selon un calendrier qui vous convient. Laissez-nous nous occuper de la propreté pendant que vous profitez de votre temps libre !

Nos services de ménage régulier s'adaptent à votre emploi du temps et à vos besoins. Que vous ayez besoin d’un nettoyage chaque semaine ou toutes les deux semaines, nous vous garantissons une maison propre et bien entretenue. Détendez-vous et laissez nos experts en ménage faire le travail !

Avec notre service de nettoyage régulier, vous n'avez plus à vous soucier du ménage ! Nos professionnels interviennent régulièrement pour s'assurer que votre maison soit toujours propre, fraîche et agréable. Des plans personnalisés sont disponibles pour s'adapter à votre emploi du temps.",Ménage-Génial,2024-10-21T21:33:49Z,PT1M11S,12,1,0,UCTKvSDFj9VkzDSqZiJQfb_A,26,fr
oFFaxEz5mrA,Organisation maison & looks d’automne 2025 🍂 + exercices périnée à connaître,"🍂 Hello tout le monde !
Aujourd’hui, je vous emmène avec moi pour une journée d’organisation maison, un gros tri dans le dressing de mon fils, mais aussi mes commandes mode pour l’automne 👗✨.
Et surtout, je vous parle d’un sujet super important pour nous les femmes : le périnée + une découverte qui a changé ma vie 🙌.

Profite des Ventes Privées EVE AND CO : https://eve-and-co.com/barbaraf
Tu as -60% sur tout le site et avec mon code tu as -30% supplémentaires !
Avec mon code promo : BARBARAF

Collaboration commerciale

🛍 MES INSPIRATIONS LOOKS AUTOMNE
📌 Mon tableau Pinterest : https://fr.pinterest.com/barbaraleblog/lookbook-automne/
👞 🧥 MES LOOKS D'AUTOMNE: https://lawishlist.com/influencer/embed/wishlist/11679/-OZF7BZJAXUkn4-8ygBb

💌 On reste connectés !
Instagram : https://www.instagram.com/barbaraf.home/

💌 Pour les demandes de partenariats : barbaraleblog@gmail.com",Barbara F,2025-09-07T08:00:51Z,PT15M52S,7084,585,105,UCmUOFgDd1UC2JHAtcv3NDsw,26,fr
nXiR-Z0LAlU,comment garder une maison propre,,By funkyaros,2023-06-18T15:18:50Z,PT14M52S,1679,48,24,UC-vu_QTGID-UrJ2I_sZbURQ,26,fr
r6qWwDXwnM0,Daily Vlog du 17 janvier : on teste les biscottes maison !,"[. #VLOG .] Bienvenue dans un nouveau vlog !! 
🧽 On est cette semaine dans le ménage de la zone 1 !!
Bon visionnage, prenez soin de vous  !!!
😘💋 Bisous, Sandra 😘💋

🛒Toutes les informations Guy Demarle :
Le catalogue : https://www.calameo.com/read/003027268cc165fc6bb67
Le catalogue spécial fin d'année : https://www.calameo.com/read/0030272681fbd1868f303?authid=W4aPnYJDLJgS&page=1
Mon lien conseillère : https://boutique.guydemarle.com/?s=Sandramaman
Nouveau Client Guy Demarle, recevez un bon de 10€ en notant Sandramaman dans la case parrain et Sandra Eduards (59) dans la case conseillère
Le moule à tarte renversée : https://boutique.guydemarle.com/moule-en-silicone/8377-moule-tarte-renversee-ohra.html?s=Sandramaman
🛒 Toute les information pour le Mova V50 
Voici le lien sur Amazon: https://amzn.to/48xE88P
Prix original: €1,199 Prix promo: €789 soit une remise: €400 (soit 34% de remise)
Le lien sur MOVA site officiel: https://bit.ly/4oR33ZT
Code (-20€) : V50MOVA20 Validité : du 19 janvier au 19 février (valable sur le site officiel.)
LA NOUVELLE PAGE INSTAGRAM : https://www.instagram.com/mon_thermomix_avec_sandra/

😍😍😍Abonne-toi à ma chaîne Sandra maman et tellement plus et active les notifications en cliquant sur la 🔔 juste au-dessus pour être au courant des dernières actualités vidéos ! N'oublie pas de liker la vidéo et de t'abonner ça me fera très plaisir que tu nous rejoins  !!! 
📝🛒 POUR TROUVER LES PRODUITS MENTIONNER DANS LA VIDÉO
🛒Voici Code de parrainage et le lien pour la vanille :   https://www.davidvanille.com/fr/gousses-de-vanille/567-8255-vanille-declassees-papouasie-ouganda-madagascar.html#/417-quantite-_50_gousses_100g et le code parrain : HU3ZRGIJ
🛒 Ma page amazon pour retrouver tout facilement les produit que j’utilise →  https://www.amazon.fr/shop/sandramamanettellementplus  
📝🛒 En tant qu’associé Amazon et membre d’un programmes d’affiliation, Si un achat est effectué en utilisant l’un des liens d’affiliation sur le site, nous pouvons gagner une petite commission sans frais supplémentaires pour vous. On vous remercie !!

🎁🛒 CODES PROMOS :
🛒Les Produit everdrop :  https://serv.linkster.co/r/waEXvi7EeG
Nouveau code : SANDRAMAMAN
-10% sans minimum d'achat
-15% à partir de 39€ d'achat
-20% à partir de 59€ d'achat
Valable sur tout le site
sandramamanettellementplus #vlogfamille #vlogmaman #organisation #recette #mijoteuse #pastamacker #budget

📮📝🖋 AU SUJET DES COMMENTAIRES :
💕😍💕😍 Vous êtes ici sur ma chaîne et du coup un peu chez moi...je vous partage ici une partie de ma vie, et donc de mes goûts personnels qui ne seront pas forcément les vôtres, on est tous différents et c'est très bien ainsi...ici on prône la tolérance, l'entraide et la bienveillance, j'accepte la critique constructive celle qui me permet de m’améliorer et d’avancer mais nullement la méchanceté gratuite, inutile...je ne suis pas ici pour être le défouloir de personnes indélicates et sans civisme, mais pour le partage et l’échange...c’est pourquoi je lis tous les commentaires et y réponds, ils sont tout mis à approbation : c’est pour cela qu’ils n’apparaissent pas tout de suite sous les vidéos...tout ce que je juge inutile, méchant, non constructif finissent à la poubelle et je n’hésite pas à bannir toute personne malveillante...n'oubliez pas que derrière l'écran il y a de vraies personnes humaines... comme vous...et qui partage tout ça avec énormément de plaisir !!! À bientôt 💕😍💕😍

🍽 LES RECETTES PARTAGES DANS CE VLOG :
Vous avez réalisé une de mes recettes postez une photo sur Instagram et assurez-vous de me taguer pour que je puisse la voir aussi !!! J’adore voir vos réalisations gourmandes! Vous pouvez me trouver sur @sandramamanettellementplus ou simplement #sandramamanettellementplus – si vous m’identifiez sur la photo, je pourrai le voir de cette façon aussi !!!
🥗 🍴 

🎥 LES VIDÉOS SOUVENT DEMANDES : 
🧼 🧽 →  Mon organisation ménage : https://www.youtube.com/playlist?list=PLqQDtGCtQFZvt1rTdzS9gaT_sJySIk6uI,
🍞→ Tout sur mon pain et le levain : https://youtu.be/lnGOv8OpSu4 et https://sandramamanettellementplus.wordpress.com/mon-pain-maison-au-levain-naturel/
👨‍👦👩‍👧‍👧   → Notre histoire : https://youtu.be/jbNkdX1fJ8Q 

💗🙋‍♀️QUI M’AIME ME SUIVE… 
💐 Mon Blog → https://sandramamanettellementplus.wordpress.com/ 
💐 📑 Retrouver tous les documents que je me sers pour mon organisation → https://sandramamanettellementplus.wordpress.com/mon-organisation-maison/  dont mon journal de bord.

🌎🗺🙋‍SOCIAL MEDIA 
💻 → Mon Instagram :
https://www.instagram.com/sandra_maman_et_tellement_plus/ 
💻 → Mon facebook :
https://www.facebook.com/sandramamanettellementplus/
💻 → Ma page Pinterest : https://www.pinterest.fr/sandramamamettellementplus/ 

☕ 📋 BUSINESS 
📫 Contact → sandra.mamam.et.tellement.plus@gmail.com

🎧 🎬 MUSIQUE ET MONTAGE  :
🎸 → Music : https://www.epidemicsound.com/referral/n670ce","sandra, maman et tellement plus !",2026-01-21T17:01:23Z,PT32M32S,1035,0,32,UC15phdG_ON2OvIyVUESujTQ,26,fr
-8htNRpGYZE,Toujours utilises ces rangements n’est-ce pas ? 🥰#rangement #decoration #organisation,,Pause deco ,2025-09-06T05:33:50Z,PT33S,241844,2357,29,UC3Zj1CZyfEUlzcchJQXDB_Q,22,fr
MKf-5SpkSjg,REDÉFINIR LES ESPACES #organisation #maison #rangement #home,,Pama_Luve,2025-10-06T07:58:39Z,PT25S,2739,46,4,UCk61QtVOSe0ZX55-i-6ygrw,22,fr
