video_id,title,description,channel,published_at,duration,views,likes,comments,channel_id,category_id,language
s3hXTCYCsGk,"Une souris verte, chanson française pour bébés et enfants","🐭La chanson une souris verte, un grand classique des comptines françaises . 

 Aujourd'hui, on revisite cette chanson avec une surprise... Notre petite souris verte adore la moto et le rock'n'roll !
Une chanson ludique et rythmée, conçue pour l'éveil musical des bébés et le plaisir des plus grands pour faire le plein de bonne humeur à la maternelle. On chante, on danse et on s'amuse ensemble. Ne manquez pas cette aventure rigolote musicale traditionnelle !

🎁 CADEAU : Les paroles à colorier. 
👉 Cliquez, Téléchargez, Enregistrez et Imprimez votre fiche:
https://drive.google.com/file/d/1jqIvuCO22awNkPyEdt74mT-gFFRos-HV/view?usp=sharing",nayakids musical,2026-01-20T12:21:20Z,PT16S,34,3,0,UCdudw5UxK3NbaGnQLwUIp4w,27,fr-FR
IqI0BrFPcsg,Gosses du swing #chansonfrancaise #swing #acoustique #animation #dessin #nouvellescene #popfr,,Bazar et Bémols,2023-06-23T19:35:27Z,PT1M1S,149,12,1,UCU3b0M4Yva-xJan67UZR21g,10,fr
h_fWfzIvXmw,Le son complet dans la bio 👌#musicien #humour #chansonfrancaise #guitariste,,Tito Nabat,2025-10-08T14:26:29Z,PT16S,1550,12,0,UCdV4rjtemkVw_knX7vWNDIw,10,fr
8CLSXs8WQKQ,MA NOUVELLE MARQUE ERRONÉ / BEHIND THE SCENE,"Plongez dans les coulisses du shooting photo de lancement ✨
24h avec moi, entre préparation, prises de vue et premiers visuels exclusifs.

J’espère que ça vous plaira autant que j’ai aimé le créer.

📲 Le site est en ligne : ERRONE.CO dès maintenant.
Allez découvrir l’univers 🔥



ML PRODUCTION FRANCE - contact@mlproductionfrance.com
Tous droits réservés 2025 ©


Merci à vous tous ! 

N'oubliez de vous abonner pour découvrir mes prochaines vidéos :)",Thibault & Jessica,2025-06-02T16:06:52Z,PT14M45S,11393,607,40,UCXGzmENmT70KR28XvAs-nRQ,23,fr
Ek3O-24gEbA,#shorts #chansonfrancaise #cover #chanson,,Adriān Louis,2025-10-01T17:14:38Z,PT34S,1421,26,3,UC-Dw1TzWgHG8CAbC9B3oVLQ,22,fr
XUHEyffCJJs,Belle étoile #chansonfrancaise #nouvellescene #acoustique #contrebasse #capvert #poesie,,Bazar et Bémols,2023-12-31T12:44:34Z,PT26S,132,6,0,UCU3b0M4Yva-xJan67UZR21g,10,fr
RAyACoD0m1o,VOD Crime Scene Cleaner nouvelle MAJ (Let's play #1),"Viens regarder ma VOD suite à la nouvelle mise à jour du 27 octobre 2025 de Crime Scene Cleaner 
Ma chaine twitch :   / https://www.twitch.tv/malabop


✔ N'oublie pas de t'abonner et de mettre la cloche pour être mis au courant quand je publie une nouvelle vidéo !

Mes réseaux : 
INSTAGRAM :   / https://www.instagram.com/malabop_/
DISCORD :   / https://discord.gg/Nm3TqzfU24
TIKTOK :   / https://www.tiktok.com/@malabop_",Malabop,2025-10-30T21:25:11Z,PT3H43M11S,20,2,0,UCd3_Aze4j0rDMCXAkn8IqkQ,20,fr
OarxQfK0LtQ,"""DÉBILOUS FAIT SON NUMÉRO"" par LE PIRE DE LA NOUVELLE SCENE FRANCAISE.","Voix envoutante, séduction indiscutable, charisme certain, notre ami Débilous se lâche et nous prouve que le charme humain existe toujours. Il y en a qui ont tout pour eux, d'autres c'est le contraire, la vie est mal faite..",Le Pire De La Nouvelle Scène Française ,2024-11-28T17:29:17Z,PT3M12S,29,0,0,UCLmkCpB47i24G-_E8ewKCyA,23,fr
-1EFgRUDmwc,[Easter Egg] NOUVELLE CUT SCENE DÉCOUVERTE + ANNONCES POUR LA CHAINE [RDR2],"Dans cette courte vidéo je vous présente une nouvelle découverte faite par un youtuber américain 
Une nouvelle cut scene qui propose une version alternative de ce que nous connaissions
Cette vidéo a aussi pas mal d annonces en ce qui concerne le futur de la chaine

Chaine du Youtuber : https://www.youtube.com/user/shkcraft

Liens de Rozeline
https://twitter.com/roZA2uZ
https://www.youtube.com/channel/UCEyzqhQUT5L21IVaiciWISg

Liens de TGS 
https://twitter.com/TGSGAMINGSHOW
https://www.youtube.com/channel/UCsTopY7cR3UPiVvmpttfayg

Liens de Trippy Commentaries
https://twitter.com/TrippyComms
https://www.youtube.com/c/TrippyCommentaries


CODE CREATEUR EPIC : GIAMENI

                                                   ▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬

Si vous voulez soutenir la chaine :  
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬

https://paypal.me/Gi4meni
https://utip.io/giameni

                                                    ▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬

*SERIE GTA ORIGINS * 
▬▬▬▬▬▬▬▬▬

GTA 1 : https://www.youtube.com/watch?v=_nR4xzAQvvs&feature=youtu.be

                                                   ▬▬▬▬▬▬▬▬▬

*VIDÉOS ORIGINES DES MYSTÈRES*
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬

Les Tueurs en Série : https://youtu.be/SpiUtEgU0rs 
Les Ovnis et Aliens (Partie 1) : https://youtu.be/AWP7Yn8imbQ
Les Ovnis et Aliens (Partie 2) : https://youtu.be/kltQ5AzRoSU 
Les Fantomes (Partie 1) : https://youtu.be/BDpZK88E_Cw 
Les Fantomes (Partie 2) : https://www.youtube.com/watch?v=o3wEAyylDzo
Les Fantomes (Partie 3) : https://www.youtube.com/watch?v=C-Hl3oWYVuA
Le Bigfoot : https://www.youtube.com/watch?v=olMoKE_wzhU
Les Monstres marins : https://www.youtube.com/watch?v=deqd5GBa44w

                                                ▬▬▬▬▬▬▬▬▬


*LES PLAYLISTS* : 
▬▬▬▬▬▬▬▬
GTA Origins : https://www.youtube.com/watch?v=_nR4xzAQvvs&list=PLcaiL0Qs2XW6E5sq9duFP9xDPZYutTVcD
▬▬▬▬▬▬▬
Les Origines Des Mystères : https://www.youtube.com/playlist?list=PLcaiL0Qs2XW6RCN3kKoNKhLyULKIiUbCC
▬▬▬▬▬▬▬▬▬▬▬▬
Mystère RDR2 : https://www.youtube.com/watch?v=IXneq4OA2uY&list=PLcaiL0Qs2XW5CRGkYfw2SnGURk2trYIc3&index=1
▬▬▬▬▬▬▬
Mystère de GTA V : https://www.youtube.com/playlist?list=PLcaiL0Qs2XW6PrkmjxNbuq9JiDUcAp62c
▬▬▬▬▬▬▬▬
Easter Eggs : https://www.youtube.com/playlist?list=PLcaiL0Qs2XW4HlWvRcAqxCKRy9Mru_d5D
▬▬▬▬▬▬
Lives Let s Play RDR2 : https://www.youtube.com/watch?v=G5eAZnY-kN8&list=PLcaiL0Qs2XW7Huu7VJ5XNXcrfl-dblbj8
▬▬▬▬▬▬▬▬▬▬
Lives Mystères : https://www.youtube.com/watch?v=DYP91-sqW4k&list=PLcaiL0Qs2XW4DEq4cLHg6QIdj15m3uDU8
▬▬▬▬▬▬▬
Resident Evil : https://www.youtube.com/watch?v=-TYzvbpRYG8&list=PLcaiL0Qs2XW5c4F-9C8DMbPOz5yvBnefn
▬▬▬▬▬▬
L Instant Retro Gaming : https://www.youtube.com/playlist?list=PLcaiL0Qs2XW6M471AQPHcAPdga3YQzNzX
▬▬▬▬▬▬▬▬▬▬▬


                                       ▬▬▬▬▬▬▬ 🌎 Réseaux Sociaux 🌎 ▬▬▬▬▬▬▬

Twitch : https://www.twitch.tv/giamenitv

Twitter : https://twitter.com/GiameniGaming

Discord : https://discord.gg/3uJsg8c

Facebook : https://www.facebook.com/GiameniYT/

Insta : https://www.instagram.com/giamenii/

Social Club : https://fr.socialclub.rockstargames.com/member/giameniyt

Crew GTA V Online (PC) : https://fr.socialclub.rockstargames.com/crew/the_new_wave_yt


#Giameni#RDR2#Secret",Giameni,2020-10-14T08:30:00Z,PT5M44S,1258,91,42,UCgAaoI2bSTivMgnx99h53cg,20,fr
QlH_xFuR47E,LA SCENE DES BAINS - Extrait de la nouvelle VF de Digimon Adventure,"Pour découvrir tous les épisodes de notre nouvelle adaptation française, rendez-vous sur notre site :
https://digiadventure-fandub.fr

Dans cet extrait de l'épisode 8, les enfants et leurs Digimons pensent être en sécurité, et se reposent dans une grande demeure. Restauration, détente dans les bains... N'est-ce pas trop beau pour être vrai ?

Pour nous suivre sur Twitch :
http://twitch.tv/digiadventurefandub

Plus d’infos sur notre site ou notre page Facebook :
https://digiadventure-fandub.fr
https://www.facebook.com/DigiAFP

#DigimonAdventure #Fandub #DAFP",Digimon Adventure Fandub Project,2023-02-02T15:30:06Z,PT2M4S,2418,20,2,UCaAjADR5I7bLhAI8tMKwPTQ,1,fr
EQgva86TEj8,Cendres sur le cœur – Chanson française mélancolique | Amour brisé & souvenirs,"Cendres sur le cœur est une chanson française profonde et mélancolique qui raconte l’histoire d’un amour consumé par le temps, les silences et les regrets.
Quand les promesses deviennent des cendres et que le cœur porte encore la chaleur du passé, il ne reste que les souvenirs… et la douleur douce-amère de ce qui aurait pu être.

Portée par une ambiance intime, des paroles poignantes et une mélodie chargée d’émotion, cette chanson s’adresse à celles et ceux qui ont aimé, perdu, et appris à vivre avec les traces laissées par l’amour.

Fermez les yeux, laissez la musique vous traverser…
Parce que même réduits en cendres, certains sentiments continuent de brûler au fond du cœur. ❤️‍🔥

👉 N’oubliez pas de liker, commenter et vous abonner pour plus de chansons françaises émotionnelles.",SérénitéSons,2026-01-22T09:55:48Z,PT2M44S,173,3,0,UCiB_5kY6DRx7PG-3kLfk7pg,24,fr
PJwSKC8lyS4,Scene vacance nouvelle,Inédit pour vacance nouvelle,ElogeRecord JoDePlainp,2011-10-09T17:23:12Z,PT5M10S,497,6,0,UCkRHZov6l-8kqavRresRgmQ,10,fr
MPpHn1yZZXU,On oublie nos villages… Extrait #shorts  #france  #chansonfrancaise,"Les villages qu’on oublie, chanson française, France rurale, patrimoine, souvenirs.
🎧 Version complète : https://youtu.be/PFYf1ZHISbE",Concept-IA,2026-01-16T10:43:18Z,PT53S,8202,411,25,UCKTUHpheoySLll3sFYof5gQ,10,fr
7M3w8ZYIpCQ,Nouvelle scene Dr. Seuss' the Lorax (Version Française) -- 'Ted Shows Audrey the Truffula Seed',"Vanaf 18 juli in alle zalen // En salles le 18 juillet 2012

In deze hartverwarmende familiefilm van de makers van Despicable Me en Hop zien we hoe een twaalfjarige jongen, Ted, een zoektocht begint naar datgene waarmee hij het hart van zijn droomlief, Audrey, zal kunnen stelen... een boom! Om dit te vinden gaat hij op ontdekkingstocht en ontmoet The Lorax, een chagrijnig maar charmant figuur die zijn wereld probeert te beschermen.

//

LORAX, le long-métrage en images de synthèse 3D, est une adaptation de la légende classique du Dr. Seuss sur une créature de la forêt "" qui partage son tenace pouvoir d'espoir."" 1- Dont l'espoir le nourrit d'une force tenace qu'il aime à partager. 2- Qui partage la force durable qu'est l'espoir 3- Qui partage sa force puisée dans son éternel espoir. L'aventure d'animation suit le voyage d'un garçon qui est à la recherche de la seule chose qui lui permettra de gagner l'affection de la fille de ses rêves. Pour se faire, il doit découvrir l'histoire de LORAX, la créature grincheuse mais néanmoins charmante, qui se bat pour protéger son monde. Danny DeVito prêtera ses talents vocaux à l'icône et personnage principal, Lorax, tandis qu'Ed Helms prêtera sa voix à l'énigmatique Once-ler. D'autres superstars mondiales prêteront également leurs voix, Zac Efron sera Ted, le jeune garçon idéaliste qui est à la recherche de Lorax, Taylor Swift sera Audrey, la fille dont rêve Ted. Rob Riggle jouera le roi de la finance O'Hare, et la chère Betty White incarnera la sage Grammy Norma.",Universal Pictures BE,2012-06-19T15:16:45Z,PT1M6S,24182,37,0,UCo25ERvyG7KsZozpvVFgXcg,1,en
xLgdWGkZr4U,Dalida - Mourir sur scène (Clip Officiel - Nouvelle Version 2022),,Todomache 29 runner,2023-01-15T09:44:05Z,PT26S,31445,1291,23,UCCeIKOPMExaSTW3YtgNDr_g,22,fr
8NcIAIjwR6c,Cambriolage  #chansonfrancaise #chanson #musique,"Chanson française à texte sur les violences sexuelles, un geste de trop... 

#chansonfrancaise #chansonspourtout #violencesfaitesauxfemmes #briserlesilence #sensibilisation #empathie  #témoignagedevie #stopviolence #stopviolenceagainstwomen #protection #proteger #femmes #sensibiliser #prevention #féminisme 

@Enomis_0fficiel 
Paroles : Gaëlle HALNA DUBOURG",Enomis,2026-01-19T13:43:01Z,PT1M8S,277,3,0,UCwLRBOlAKCk3g5-VGahQEVw,10,fr
SomwUq3iXvw,ENREGISTREMENT d'une NOUVELLE CHANSON 😍,,massilya & papa,2022-03-09T16:00:17Z,PT13S,2324028,45959,0,UCbNUTTsyVmNtB91H0JP8xvQ,24,fr
zlzXmivScnI,Audrey et le 100eme groupe invite de la Nouvelle Scene France Bleu Poitou,,france bleu,2020-11-06T09:31:21Z,PT29S,6,0,0,UCUxWP87OMyExofw6Z8ubhPw,22,fr
e96kqKfa_JY,"Glenn Nuotio  Ottawa  Juno Pianos March 27, 2012 La Nouvelle Scene Juno Awards","The JUNO Awards week in Ottawa, Ontario 2012 Glenn Nuotio at La Nouvelle Scène (Ottawa) hanging out with one of the JUNO Pianos thoughout Ottawa . Created by Ben Welland of ""byfield~pitman photography"" go to Glenn Nuotio music or to help Glenn Nuotio's IndieGoGo album funding campaign go to http://www.indiegogo.com/glennis40 http://www.facebook.com/NuotioMusic",GN,2012-03-30T21:39:36Z,PT1M32S,191,2,0,UC22G5B372CLpLq1ijX9Ig1Q,10,en
ev4zaznDLWQ,IL MONTE SUR SCENE AVEC UNE PELUCHE ?! Réact Nouvelle École S4 EP1,"Aujourd'hui on réact à Nouvelle École saison 4 en live sur Twitch !
On fait la suite Samedi 08/11 vers 22h30 si jamais tu veux passer faire un coucou...
------------------\\//----------------
😄 Mes réseaux sociaux ! 
⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️
Twitch : https://www.twitch.tv/xvi_minato
Chaine (VOD) : https://www.youtube.com/@XVI_Minato2.0
Instagram : https://www.instagram.com/xvi_minato
Tiktok : https://www.tiktok.com/@xvi_minato
Discord : https://discord.gg/VWFYzqVX
------------------\\//----------------
💸 Si tu veux me faire un don : https://streamlabs.com/xvi_minato
(Tu serais le GOAT de cette génération)
------------------\\//----------------
🔴 Si ma chaîne te plait ! Hésite pas à :
⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️
👍 Mettre des likes sur les vidéos 
💬 Commentez les vidéos
🔗 Partagez la chaîne et les vidéos
💚 T'abonner
🔔 Activez la cloche
✅ Pour être au courant de mes prochains Lives, Shorts ou Vidéos ! 
------------------\\//----------------
Si tu a lu jusqu'ici tu est bizarre, mais je t'aime bien donc abonne toi❤️",XVI_MinaTo,2025-11-06T16:00:06Z,PT11M13S,201,2,1,UCRGkc571BEpt5buoFSBkG_g,24,fr
0Jki422VhA8,"🎤🎧 Chanson Française: Jacques Brel & Marcel Azzola  ""Vesoul""","L'interprétation de Jacques Brel  qu'en penses tu ? 
🎤🎧 Chanson Française: Jacques Brel & Marcel Azzola  ""Vesoul""
#musique #chansonfrancaise #chansonfrançaise #chanson #brel",vagueintense,2026-01-22T10:45:02Z,PT29S,74,3,0,UCuS-dmv4TMm7HNeD5B6o5Pw,22,fr
TKauxTHqIi8,Un jour de pluie au Quartier Latin | Chanson française romantique – AI French Love Song in Paris,"« Un jour de pluie au Quartier Latin » est une chanson poétique et romantique qui capture l’âme de Paris sous la pluie.
Entre les pavés luisants, les cafés anciens et les regards qui se croisent, cette chanson nous emporte au cœur du Quartier Latin, là où le temps s’arrête et où l’amour naît simplement.
Une valse douce, empreinte de nostalgie et de lumière, pour tous ceux qui aiment la chanson française, Paris, et les histoires d’amour sous la pluie.

“A Rainy Day in the Latin Quarter” is a poetic and romantic French song that captures the soul of Paris in the rain.
Among shining cobblestones, old cafés, and fleeting glances, it transports you to the heart of the Latin Quarter, where time stands still and love quietly begins.
A gentle waltz filled with nostalgia and warmth — perfect for lovers of French music, Parisian romance, and rainy-day poetry.

@AIFrenchRelaxingMusic",Paris Calm Studio – AI French Relaxing Music,2025-11-09T09:15:02Z,PT3M29S,132628,2145,109,UCqEik_mBS9q6t6U0b4ZG0WQ,10,fr
0Bqow9YkOFI,Changer ton Monde (extrait) #chanson #terra #chansonfrancaise #spiritualité,"Création chanson française, ""changer ton Monde"" par Loumis pour terrestellaire.org


#chanson #musique #spiritualité #terra #chansonfrancaise",Terre Stellaire,2025-10-05T11:00:23Z,PT33S,139,0,0,UC8WiJTL0Ua-XsdlinvGTu4g,29,fr
bi-ZoohmGC0,Comme un vieil alcool… #chansonfrancaise #frenchsong #chansontriste,"Extrait du concert du 20 octobre 2025 à la Péniche Antipode à Paris
DES VINYLES POUR NOËL : https://www.paniermusique.fr/chanson/8642-le-syndrome-de-peter-pan-aurelie-hartmann-3666946020624.html",Aurélie Hartmann | Music & Performance,2025-12-08T20:28:08Z,PT25S,1551,4,2,UCwbr6nLUS_t87oJnFsYsCEA,10,fr
