video_id,title,description,channel,published_at,duration,views,likes,comments,channel_id,category_id,language
MpahNAdOdVk,NICO A FAIT UNE TRANSFORMATION PHYSIQUE ? 😨 (Choqués ?) #shorts #drama #byilhan #nicola #tiktok,,Keonii - Actus d’Internet 🗞️,2025-10-03T15:29:17Z,PT1M1S,181094,9364,69,UC8gdvxyrOJrUiTBVCKemb4g,24,fr
40IALyQqHOg,Régime jour 31 : Evolution de ma perte de poids ! 😲 #avantaprès,Régime jour 31 : Evolution de ma perte de poids ! 😲 #avantaprès,1gras1fille,2023-09-12T10:24:18Z,PT10S,130921,2076,94,UCti6yKqA64gBCyq_s0c9Wqg,24,fr
Or8GXamubos,Laid Aesthetic at 15😳#davidlaid #motivation #aesthetic #15yearsold #gym #transformation #young,,David Laid Prime,2025-09-13T17:10:58Z,PT15S,709038,17822,106,UCdVsCE8oHmriS4QkKBeG7pg,22,en
B1KbolzpWD4,The Daily 50 Workout For Beginners At Home. Simple and Effective!,Beginner Exercises. Consistency and a healthy diet are key. SUBSCRIBE to my Youtube Channel! #fitnessmotivation #beginnerworkout #weightloss #thedaily50 #homeworkout #viral,The Fit Champion,2024-09-18T08:44:32Z,PT13S,2338882,41509,370,UCuGeoEfs9nSlXSAPkPH-BmA,22,en
vGwyH4xv63w,Chris Evans CAPTAIN AMERICA Body Transformation,"WORKOUT & DIET:

Hollywood Movie Star Program: https://muscle-forever.myshopify.com/products/the-hollywood-movie-star-program

SOCIALS:

TikTok: https://www.tiktok.com/@willcozens
Instagram: https://www.instagram.com/willcozens
Twitter: https://www.twitter.com/willcozens

PODCAST:

Apple Podcast: https://podcasts.apple.com/us/podcast/will-cozens/id1676626985
Soundcloud: https://www.soundcloud.com/willcozens

In this #shorts it's all about Chris Evans getting JACKED to play Steve Rogers a.k.a. Captain America in Marvel’s ‘Captain America’ franchise! 

What’s your thoughts on this Chris Evans body transformation?

Is Chris Evans natty or not!? Let me know in the comments!

#gym #fitness #bodybuilding",Will Cozens,2023-05-11T12:57:04Z,PT29S,145224,5293,42,UCCLexxKwvZXvrKR1niYXYhw,24,en
6A6eF7YJOjQ,#shorts #cricket #india #bcci #ipl #trending #motivation #sports #vlog #youtubeshorts #shortvideo,cricket match IND vs NZ T20 4 by ishan kishan,Kamran Khan,2026-01-23T15:56:39Z,PT16S,2,1,0,UCRK2M0i5npiFI8pB0ImSe5g,22,hi
LmUVqGoa3yg,"my workout plan every week: 3 home workouts, 2 runs, 1 stretch and 1 full rest day",,growingannanas,2024-07-02T17:01:35Z,PT20S,2884977,129770,356,UCsLF0qPTpkYKq81HsjgzhwQ,17,en
5tfkioJlm_w,He Got Fit in 90 Days For Their Wedding,"I Helped a Streamer Get Fit For His Wedding
Get JC’s workout program: https://bit.ly/JCGains
Start your own 90 day challenge 🔥 https://bit.ly/StartYour90

This might be the most action packed 90 Day Transformation we’ve ever done 🤯
He becomes a father on day 4 already, tries to balance work and the baby, and of course all the new habits, diet and workouts to get fit for his wedding on day 90!
How did he do?

Check these out:
● Gymshark: https://gymshark.com (Code: Stan10)
● MyProtein: https://prf.hn/l/NdBwzDX/ (Code: Browney)
● Get a personalized mealplan: https://mealplans.the90dc.com/

Follow my instagram for gains: ​⁠ 
@StanBrowney https://www.instagram.com/stanbrowney/

YouTube Collaborations: Browney@Delkatalents.com
Management: TeamBrowney@Scooperz.com
Copyright issues? Mail me.

╔═╦╗╔╦╗╔═╦═╦╦╦╦╗╔═╗
║╚╣║║║╚╣╚╣╔╣╔╣║╚╣═╣ 
╠╗║╚╝║║╠╗║╚╣║║║║║═╣
╚═╩══╩═╩═╩═╩╝╚╩═╩═╝
If you read this hit the like button with your nose",Browney,2025-06-19T15:00:10Z,PT28M25S,7123486,157221,3661,UC0r_-7jgl1yl0oWzGEJ6o3w,24,en
4iOHAIZdfLo,Réaction transformation physique 💪💪 #motivation #transformation #natural #physique,,TheStrongMan,2025-01-17T21:20:04Z,PT28S,2694,37,0,UCDk3jsHBLMRT4f4Ax9ysJXA,17,fr
YH5RXSovOCg,30 JOURS DE STÉROÏDE NATUREL 💉 : MA TRANSFORMATION PHYSIQUE (Turkestérone),"Dans cette vidéo je vais essayer de réussir une transformation physique en utilisant la turkestérone, un stéroïde naturel. Est ce que vous pensez que je vais réussir à prendre du muscle et de la masse en prenant ce stéroïde naturel ? C'est la question que je me pose sur la turkestérone. 
—————————————————
💪 MES SUPERS PROGRAMMES POUR DEVENIR MUSCLÉ 
https://www.ananasmuscle.fr/programmes

👉 Mon Programme 100% Personnalisé pour toi : 
 https://www.ananasmuscle.fr/programme-personnalise

🏆 Je deviens ton COACH personnel pour que tu te TRANSFORMES.
https://www.ananasmuscle.fr/coaching/ 

🧡 MES CONSEILS GRATUITS TOUT LES JOURS 
 https://www.ananasmuscle.fr/conseils
—————————————————
Dans cette vidéo je vais prendre de la turkestérone pendant 30 jours et voir si je vais réussir à prendre du muscle et de la masse. J'espère que ce nouveau complément alimentaire va me permettre de réussir ma transformation physique de maigre à musclé, grâce à ses capacités anabolisantes. 

Je vais manger 3000kcal par jour et beaucoup de protéines pour que mon corps accepte la prise de masse et que je puisse prendre du muscle tout au long de cette expérience. 

Je préfére le dire ici, la turkestérone n'est pas un vrai stéroïde, et je reste un pratiquant naturel de musculation et d'ailleurs toujours en quête de prise de muscle et de masse. On peut par exemple comparer la turkestérone à la créatine, qui est un complément alimentaire utile pour prendre du muscle, mais qui ne fais évidemment pas tout. 

Si tu veux te transformer physiquement, et prendre de la masse tout en ne prenant pas beaucoup de gras, il faudra que tu respectes les trois pilliers de la prise de muscle. T'entraîner correctement (musculation), manger assez de calories et de protéines pour prendre du muscle, et laisser à ton corps du repos (bien dormir)... Rien de secret ou de magique dans la prise de muscle. Ce n'est pas parceque tu utilises de la turkestérone que tu vas pouvoir prendre du muscle hyper rapidement si tu ne respectes pas les autres pilliers. 

Bon courage pour ta transformation physique 💪🍍

—————————————————
🎥 À REGARDER POUR APPROFONDIR LA VIDÉO 

Ma transformation en vidéo ( +20KG) ? https://youtu.be/wKIPVoXvJUY
Comment prendre du muscle en vacances ? https://youtu.be/kFiT9yg5KgI
Ma pire expérience en muscu ? https://youtu.be/XOFSFCCUn-0
—————————————————
OU ME RETROUVER ?? 

🎁 https://ananasmuscle.fr
❤ INSTAGRAM ( viens me follow) :https://bit.ly/AnanasMuscle
💪 SNAPCHAT: amtoine_24
—————————————————
Au sommaire de cette vidéo 
00:00 Début de la vidéo
00:40 Expérience Turkestérone
10:52 Ma transformation physique (bilan)
—————————————————

SUR MA CHAINE YOUTUBE 
Bienvenue à toi petit 🍍 et bienvenue sur ma chaine ! Dans celle ci tu vas retrouver mes conseils pour prendre du poids le plus vite possible et te transformer physiquement. Une transformation physique et une transformation en musculation ne s'improvise pas ! Mon objectif sur cette cette chaine est de te donner les meilleur conseils d'un ananas musclé pour que tu parviennes à te muscler, prendre du poids et obtenir le physique de tes rêves en te transformant grâce à la musculation !


La prise de poids est dure ! Mais tu vas y arriver en persévérant.

—————————————————
 QUI SUIS-JE ? 

Je m'appelle Antoine et à 22 ans j'ai fait le plus beau choix de ma vie : devenir Youtuber dans le domaine de la musculation et du fitness. J'adore créer du contenu.


Mon objectif était simple : Ancien maigre, j'ai toujours voulu prendre du poids et après des moments de dur labeur, j'ai enfin réussi… Je vous partage cette expérience, mes 20 kg supplémentaires sur la carcasse et des connaissances plein la tête. Tu veux devenir costaud, avoir un beau corps ? Alors fais moi confiance.

Ma vidéo qui traite de #ectomorphe : https://youtu.be/YH5RXSovOCg
Si tu as des questions n’hésites pas à me les poser en commentaire.

#turkesterone prisedemasse #transformationphysique",Ananas Musclé,2022-10-23T16:15:03Z,PT13M,160008,4474,348,UCmm1zwh36e_WN1E7_-4j1Bw,17,fr
