category_name,category_id,video_id,title,channel_title,channel_id,description,duration,language,views,likes,published_at
Music,10,JywFe1H9EBM,La Fouine & Kaaris – Vision (Clip Officiel),La Fouine,UCZ8lXecIr6UOwAJNyW1XDDg,"La Fouine & Kaaris – Vision (Clip Officiel) Single ""Vision"" disponible : https://bfan.link/lafouine-vision S'abonner à la chaîne : https://www.youtube.com/c/lafouineoff...  Abonne-toi à ma chaîne ici pour ne perdre aucune actu : http://bit.ly/N3kVjb  Et retrouve moi sur  Instagram : http://instagram.com/lafouine78 Twitter : http://www.twitter.com/lafouine78 TikTok : https://vm.tiktok.com/ZMeywSvhk/ Snapchat : https://www.snapchat.com/add/lafouinesnap Facebook : https://www.facebook.com/lafouine78officiel  Crédits :  Réalisateur : Glenn Smith  Cadreur 1 : Yamikits Cadreur 2: Rayvamos  Montage : Écran de fumée  Chef op : Cleefson et Lobo  Photographe : One shoot visual et Cestbienbo  La Fouine Officiel c'est la chaîne YouTube créée par La Fouine qui met en avant les contenus imaginés et produits pour vous !  #lafouine #kaaris #vision",PT3M14S,fr,1814976,80182,2026-01-15T23:00:01Z
Music,10,UcLj3wLcQF4,RnBoi & Nono La Grinta - AVEC MOI (Clip Officiel),RnBoi,UCEvTUVFFOBTRvf6XygM4I9g,“AVEC MOI” Feat. Nono La Grinta - nouveau single disponible partout : https://rnboi.lnk.to/avecmoi   Composé par : Sokol / Elvel / Yuo / Skyjee / Seny au piano  Réalisé par Martin GUILLOUX   PRODUCTION Production : KAIROS PRODUCTION Productrices : Flora KOFFI LOPEZ & Marjane SLAMI  Directeur de Production : Valentin PIQUEMAL  Assistant de production : Sam BOUGON   RÉALISATION Réalisateurs : Martin GUILLOUX 1er Assistant Réalisateur : Ariakina ETTORI  2nd Assistant Réalisateur : Nolwenn BASISU  Directrice de Casting : SIMPLE KAST   IMAGE D.O.P : Léo RODELLA  1er Assistant Caméra : Aymeric LONG  Steadicam : Nadym BEN BAKAR   ÉLECTRICITÉ & MACHINERIE Chef Électricien : Matéo REYNAL Électricien.nes : Claire MARTY & MELCHIOR  Chef machiniste : Maxence LEBRETON   H.M.C Stylisme RNBOI : JADEUXFOIS Stylisme NONO LA GRINTA : Raphael FAINTUCH Make-up Artiste : Mélina BORDIER  Et stylisme figuration : Martin GUILLOUX  POST-PRODUCTION Monteur : Martin GUILLOUX Etalonnage : Bilel FOOT  Monteur additionnel : Tom TOPAZ  VFX Artist : Dylan SACHI   FIGURANTES :  Antonia ADENKA  Trinity LUGROS  Merci à @esco.paris  -  Retrouve RnBoi sur : Instagram : https://www.instagram.com/rnboii/?hl=en  TikTok : https://www.tiktok.com/@rnboi_  Twitter : https://x.com/rnboiiii?s=21&t=8kF1xxn...  Snap : https://www.snapchat.com/@rnboii    #RnBoi #NonoLaGrinta #AVECMOI,PT2M57S,fr,1164625,38998,2026-01-16T17:00:04Z
Music,10,a3v4Va8r6e8,Niaks - JACK HONEY (Clip officiel),Niaks,UCgb3sWYoMa05Pzzd7mpwrCw,"Niaks - JACK HONEY (Clip officiel)  Album ""TOUT DROIT"" disponible partout : http://nks.lnk.to/niaks   Composé par Zeg P, Seezy & Tarik Azzouz Réalisé par Transac Mixé par Pyl0ts Masterisé par Translab  Instagram : https://www.instagram.com/niaksofficiel78/  Snapchat : https://snapchat.com/t/xjuDcN5J  TikTok : https://www.tiktok.com/@niaksofficiel   Twitter : https://twitter.com/niaks78officiel  2026 / Bylka Prod ®  Paroles :  Mansory, RR, Purosangue Boulou, Senlis, Alençon Des shooters avec aucune émotion Sur moi j’ai 40k en billets de 100  J’ai du mal à mi-dor, le doré j’ai rallumé S’il remonte jusqu’à moi, j’sais qu’la juge va m’allumer Méchante est la CR, même toi tu serres Elle tape d’la pure dans l’puro’, celle que j’ai vis-ser  J’roule jusqu’en Seine et Marne, dans l’auto 10 kil en C’ J’veux augmenter les marges, j’calcule pas son déhanché Showcase, Jack Honey, j’suis pété mais j’en remets Elle a du vice elle, j’la connais, ça pue l’amnez la monnaie  J’roule jusqu’en Seine et Marne, dans l’auto 10 kil en C’ J’veux augmenter les marges, j’calcule pas son déhanché Showcase, Jack Honey, j’suis pété mais j’en remets Elle a du vice elle, j’la connais, ça pue l’amnez la monnaie  Elle m’a dit « y’a plus d’espoir, c’est mort tu changeras jamais On s’voit deux fois dans l’année » La rue que tu montres c’est la notre, des posticheurs dans l’allée J’vois ses yeux briller devant la note  J’fais vice j’ai pas capté mais sa gadji fait que de me té-ma J’envoie des ‘teilles dans le club, tu nous portes l’œil, enc*lé d’tes m*rts Des filons j’ai monté, tu m’ralentis, toi t’as pas de kelma Ça conspire dans la cité, quand t’es ciblé j’suis déjà très loin  J’roule jusqu’en Seine et Marne, dans l’auto 10 kil en C’ J’veux augmenter les marges, j’calcule pas son déhanché Showcase, Jack Honey, j’suis pété mais j’en remets Elle a du vice elle, j’la connais, ça pue l’amnez la monnaie (Ohh)  (Mansory, RR, Purosangue Boulou, Senlis, Alençon Des shooteurs avec aucune émotion Sur moi j’ai 40k en billets de 100)",PT2M22S,fr,729819,12081,2026-01-15T17:00:07Z
Music,10,hT8nvc6fxBs,GIMS (ft. @Theodorabosslady ) - SPA (Official Lyrics Video),GIMS,UCCB1Byx5yTbLpQaV-rlfmtA,"GIMS (ft. Theodora) - SPA (Official Lyrics Video)  SPA disponible en streaming : https://gims.bfan.link/spa Abonne-toi à la chaîne : https://www.youtube.com/channel/UCCB1Byx5yTbLpQaV-rlfmtA  TikTok : https://www.tiktok.com/@gims_off Instagram :https://www.instagram.com/gims/ Facebook : https://www.facebook.com/gims Twitter : https://twitter.com/GIMS/ Snapchat : Warano75  Paroles: J’suis bousillié, possédé, c’est abusé On va s’embrouiller puis se réconcilier Ouais j’arrive avec un peu de retard Prends tout ce que tu veux c’est pour moi   Jeune, belle, latina Nord Africa Binta Fatima Que tout le monde va téma   Concert inter Aller-retour de Paname Dès que j’arrive je fais le combo Spa Hammam Lui il est beau mais il me dérange j’fais un coma Même si je boude il propose le resto quand même Et moi je suis plus genre sexy gyal rappeur paparazzi Kim K Lady Gagaga Et moi je suis plus genre Bottega Plus genre trop gaga Avec mon big black papa   Jeune, belle, latina Nord Africa Binta Fatima Que tout le monde va téma   J’sors à peine du sauna Mets moi une Gorgonzola J’tombe sur une beauté sauvage Dans le style inconsolable Incontrôlable  J’suis dans un fantôme J’suis sur un sans faute Dans le style incontournable Donc six chiffres minimum Elle demande un mini moi   Jeune, belle, latina Nord Africa Binta Fatima Que tout le monde va téma   Elle est bien la Latina là  Mais je suis plus Africana Elle me rend même matinale Comment ça t’as des bébé Mama ah bon Jolie nana sexy moi je dis pas nanana   Je lui fais le combo Spa Hammam J’l’amène à Oman Train de vie infernal Du genre paranormal Je fais le combo Spa Hammam J’l’emmène à Oman Train de vie infernal Du genre paranormal   Jeune, belle, latina Nord Africa Binta Fatima Que tout le monde va téma   Elle aimerait prendre un verre Oh Sexy Mama  Tu m’emmènes Sexy Mama Tu m’emmènes Tu veux love sto Tu m’emmènes  #GIMS #theodora",PT3M4S,fr,992491,34930,2026-01-15T23:00:04Z
Music,10,jJLD0YlzeFE,STOCKHOLM,Ninho - Topic,UCBNTNHPngOpC-yeC8VpAPJQ,"Provided to YouTube by Rec. 118/Jefe Production  STOCKHOLM · Ninho  M.I.L.S 4  ℗ Distribution Exclusive Warner Music France, Label Rec. 118, ℗ 2026 Jefe Productions  Masterer: David Hachour Mixer, Recorded By: Etienne Macor Vocals: Ninho Lyricist: Ninho Composer: YBTZ  Auto-generated by YouTube.",PT3M17S,fr,389352,7238,2026-01-15T23:04:48Z
Music,10,Zm9RJff5fjw,SPA,GIMS - Topic,UCanUjmTDohFr8OMpfk5xWBQ,Provided to YouTube by Black Belt  SPA · GIMS · Theodora  SPA  ℗ Black Belt  Released on: 2026-01-16  Producer: GIMS Producer: Maximum Composer: GIMS Composer: Maximum Lyricist: GIMS Lyricist: Theodora  Auto-generated by YouTube.,PT3M4S,en,542291,14508,2026-01-15T22:01:35Z
Music,10,LEBqKbYuP7o,Mous-K - Freestyle Aquanaut (Clip Officiel),Mous-k Officiel,UCBPw0veZu-hTmELk3Z2yFtQ,"""Freestyle Aquanaut"" disponible en streaming: https://link.dibsteur.com/aquanaut  Retrouvez-moi sur : Instagram: https://www.instagram.com/Mous_k91usa Tik Tok: https://www.tiktok.com/@mous_k91usa  Snapchat: https://www.snapchat.com/@Laquicka_full  Réalisation : Lieuzart  #MousK #aquanaut",PT2M11S,fr-FR,273487,4926,2026-01-16T19:00:19Z
Music,10,bcv7XMf3YO8,Brulux - Gazoil (Clip Officiel),Brulux Officiel,UCa4Pn-ln0eyqFHml6IwQRTA,Brulux - Gazoil (Clip Officiel) Abonne-toi à la chaîne → http://bit.ly/1MNdsCW  Album « La Sans Pitax » toujours disponible : https://backl.ink/143537826  Instagram : https://instagram.com/brulux19 Twitter : https://twitter.com/bruluxx Snap : brulux75 Facebook : https://www.facebook.com/bruluxofficiel,PT4M14S,fr,307175,10698,2026-01-16T17:01:12Z
Music,10,9ZHBIehLl68,Ninho - LES DIAMANTS DE BOKASSA feat. Tiakola (Visualizer),Ninho,UCXdHJabqwLJ3NvPfx6XmS5Q,"Extrait de la nouvelle mixtape « M.I.L.S 4 » de Ninho, disponible partout : https://ninho.lnk.to/MILS4  Produit et réalisé par Kassett Productions. - Retrouvez Ninho les réseaux sociaux :  https://www.instagram.com/NinhoSdt/ https://www.facebook.com/NihnoSdt https://www.tiktok.com/@ninhosdt https://www.twitter.com/ninhosdt https://www.snapchat.com/add/ninhosdt",PT2M30S,fr,2131786,55302,2026-01-08T23:00:13Z
Music,10,fQWtpdfkojc,Ninho - DICTIONNAIRES feat. Freeze Corleone (Visualizer),Ninho,UCXdHJabqwLJ3NvPfx6XmS5Q,"Extrait de la nouvelle mixtape « M.I.L.S 4 » de Ninho, disponible partout : https://ninho.lnk.to/MILS4  Produit et réalisé par Kassett Productions. - Retrouvez Ninho les réseaux sociaux :  https://www.instagram.com/NinhoSdt/ https://www.facebook.com/NihnoSdt https://www.tiktok.com/@ninhosdt https://www.twitter.com/ninhosdt https://www.snapchat.com/add/ninhosdt",PT3M26S,fr,1410898,46733,2026-01-08T23:00:56Z
