category_name,category_id,video_id,title,channel_title,channel_id,description,duration,language,views,likes,published_at
Pets & Animals,15,uvh-A2EQz74,Mes rêves à 2h du matin 😳,L'étoile Noire,UCky8Z5AYEHA55-r2TFNC_KA,→ Ma boutique et vidéo personnalisée : Laboutiquelen.com  → Instagram : https://www.instagram.com/etoilenoire__/  → Contact (pro uniquement) LenBusinessCorp@gmail.com  → Any Copyright issue ? Please Feel free to contact me on social to get the problem solved  → Tik Tok : https://www.tiktok.com/@lenytb  → Twitter : https://twitter.com/etoilenoire01,PT10S,fr,669691,33249,2026-01-19T15:01:45Z
Pets & Animals,15,swYoCNb35Hc,👀 Quand tu écoutes la voix dans ta tête…,Fitness-Muscu,UCev7uCn7hMoehbcMj1sadcQ,"Dans cette vidéo un homme va essayer de décrocher un niz de frelon asiatique une espèce extrêmement destructrice pour l’écosystème local, employés des techniques étranges pour sa sécurité  Personne n’a été blessé. Fait dans un cadre contrôlé  Fait par des professionnels entraînés dans un cadre supervisé. Ne pas reproduire.  If you are the owner of this video, please contact me at remi@fitness-muscu.com, and i will remove the video   This video follows the fair use guidelines imposed by my country (France) and any false copyright strike will be contested in the French court system.    Remarque : cette vidéo est réalisée à des fins éducatives uniquement, tout le monde est en sécurité.  Remarque : cette vidéo a été réalisée par un professionnel ; NE TENTEZ PAS DE LA REPRODUIRE.  Remarque : tout le monde est en sécurité.  Remarque : tout cela a été mis en scène.    🎬 Visuels : ©Propriétaire de la vidéo    🎙️ Narration, scénario : @fitness-muscu.    Remarque :    Si vous avez des questions concernant cette vidéo, qu'il s'agisse d'un problème de droits d'auteur ou d'une demande de suppression, n'hésitez pas à nous contacter à l'adresse  ((( )))  ⚖️ Clause de responsabilité légale    En vertu de l'article 107 de la loi de 1976 sur le droit d'auteur, l'« usage loyal » est autorisé à des fins telles que le commentaire, la critique, le reportage d'actualité, l'enseignement et la recherche. Cette disposition soutient l'utilisation à des fins éducatives, informatives et non commerciales",PT23S,fr,1525040,65485,2026-01-15T17:25:42Z
Pets & Animals,15,TnfwPv_Ajww,Leurs appels de phares cassés la 😫😫,sjss,UCULhLq2ZbPStzmaIFIp1s2Q,,PT47S,fr,1073963,42816,2026-01-16T19:00:00Z
Pets & Animals,15,VNPEwECZ0f8,Share with your friends for double the fun!#pov #herramientas #s (7),Qdhhdj,UCNSXc4lY_oHvlFeuosTgHIA,,PT42S,fr,528233,23947,2026-01-19T00:36:16Z
Pets & Animals,15,S3YrDViETAE,It's the best thing I've seen today 🥹❤️,Teddy Dear,UCJL9mc_79mw7ud8Yw9CBlHw,It's the best thing I've seen today 🥹❤️,PT19S,hi,43910638,1644815,2026-01-13T13:09:09Z
Pets & Animals,15,ARI8sTm0hgE,L’hippopotame et la pastèque 🍉,Récapitulatif du Film,UC47Cr5ICZmh8L_O5Ze9c__g,,PT31S,fr,1456162,81064,2026-01-16T13:13:03Z
Pets & Animals,15,Sdmv95SZxHE,Un surprise qu'il regrettera plus tard. 🤣,Crossthememory,UCzsdGXNzB9m0wXZwU05Fiyg,,PT1M11S,fr,875376,34667,2026-01-16T17:01:33Z
Pets & Animals,15,0BA_VY0i7tg,NOUVELLE TREND CHINOISE 😍😍,Ophenya,UCRFrYBCdWPUoDm13DbadaSw,,PT16S,fr,606113,0,2026-01-18T10:30:00Z
Pets & Animals,15,vOCOd3uBMPc,These intelligent dogs taught this young man a lesson he will never forget. #dogs,CCC Documentary,UCejzd9j7uXOVBAnob6-wBsA,These intelligent dogs taught this young man a lesson he will never forget. Generated by A.I Created by: ‪@cccdocumentary       #animals #dogs #goldenretriever #aishorts #labrador #smartdog,PT59S,en,37876815,968409,2026-01-15T04:16:12Z
Pets & Animals,15,uzf354q1YcE,"1 mois que t’es plus là Nino, on t’oublie pas mon fils 🕊️❤️ Merci à @The Originals Acces Hôtel 🙏",NinoLeMalouOFF,UCW07f8dq-6cO0GvEuPTqjJg,,PT16S,fr,408782,16530,2026-01-18T23:18:30Z
