category_name,category_id,video_id,title,channel_title,channel_id,description,duration,language,views,likes,published_at
Sports,17,8sOrpRBrOv4,Il ne visait pas le but ! #football #memes,Alexis Foot,UCB43XpsQQ0_tZ_ef3qgrhZw,,PT14S,en,1328736,29413,2026-01-16T15:46:00Z
Sports,17,TAwSDvtlt-4,🤔 Pourquoi ils plient leur club de hockey…,Fitness-Muscu,UCev7uCn7hMoehbcMj1sadcQ,"Dans cette vidéo on passe en revue pourquoi les joueurs de hockey plient leur raquette de hockey  Personne n’a été blessé. Fait dans un cadre contrôlé  Fait par des professionnels entraînés dans un cadre supervisé. Ne pas reproduire.  If you are the owner of this video, please contact me at remi@fitness-muscu.com, and i will remove the video   This video follows the fair use guidelines imposed by my country (France) and any false copyright strike will be contested in the French court system.    Remarque : cette vidéo est réalisée à des fins éducatives uniquement, tout le monde est en sécurité.  Remarque : cette vidéo a été réalisée par un professionnel ; NE TENTEZ PAS DE LA REPRODUIRE.  Remarque : tout le monde est en sécurité.  Remarque : tout cela a été mis en scène.    🎬 Visuels : ©Propriétaire de la vidéo    🎙️ Narration, scénario : @fitness-muscu.    Remarque :    Si vous avez des questions concernant cette vidéo, qu'il s'agisse d'un problème de droits d'auteur ou d'une demande de suppression, n'hésitez pas à nous contacter à l'adresse  ((( )))  ⚖️ Clause de responsabilité légale    En vertu de l'article 107 de la loi de 1976 sur le droit d'auteur, l'« usage loyal » est autorisé à des fins telles que le commentaire, la critique, le reportage d'actualité, l'enseignement et la recherche. Cette disposition soutient l'utilisation à des fins éducatives, informatives et non commerciales",PT32S,fr,734186,32045,2026-01-18T18:53:58Z
Sports,17,cVUVi-PiF00,Résumé : Le SÉNÉGAL CHAMPION d’Afrique dans UNE FOLIE PURE !,beIN SPORTS France,UCfj4kQ6_mYO5r4hzX5KloVw,"[📺 RÉSUMÉ VIDÉO] 🏆🌍 #beINCAN2025 – FINALE 🇸🇳 Le Sénégal est champion d’Afrique !!! 🤯 Dans un chaos total, les Lions de la Téranga s’imposent 1-0 face au Maroc grâce à Pape Gueye ! 👉 Les Sénégalais avaient quitté le terrain après un penalty sifflé pour le Maroc, finalement manqué par Brahim après leur retour sur la pelouse…  💻 Résumés, buts, articles, vidéos, ... ➡️ www.beinsports.com 📱 Retrouvez-nous sur les réseaux sociaux : ➡️ Nos podcasts : https://podcasts.beinsports.com/ ➡️ Facebook : https://www.facebook.com/beINSPORTSFrance ➡️ X : https://twitter.com/beinsports_FR ➡️ Instagram : https://www.instagram.com/beinsports_fr/ ➡️ TikTok : https://www.tiktok.com/@beinsportsfr",PT23M39S,fr,1102770,13848,2026-01-18T22:02:17Z
Sports,17,sNYivKvMkcE,La relance du parking 🤯 #rugby #sports,CANAL+ Sport,UC8ggH3zU61XO0nMskSQwZdA,,PT40S,fr,873363,20193,2026-01-16T20:38:47Z
Sports,17,MARgdC-Ulzs,😱 Stéphane Curry vs Ballon à 2500€,Max Parra,UCoC5PYLZpY_gZQRD6_yaVIg,,PT27S,fr,1790978,54066,2026-01-13T18:57:19Z
Sports,17,A7JVSGzeORY,Sa Rivale N’avait Aucune Chance !,Toshu,UCookbybMQNh9re4rV2YTLaQ,#shorts,PT39S,fr,736268,40571,2026-01-18T18:45:10Z
Sports,17,3vbqDZfLA0c,The Worst Aura Crowd 💀#tennis #aura,Tenniswiree,UCzIQ3w6lmvqwzLISeh8skFQ,,PT22S,fr,1283294,36718,2026-01-14T14:34:14Z
Sports,17,CTWiBaAF9UQ,Top 5 cherki,Top5 🏆,UCAvzsOWKx3z6DCxpdIcPpnQ,,PT37S,fr,775076,22074,2026-01-17T09:58:34Z
Sports,17,EjwN9FXvNPk,LE GESTE IMPOSSIBLE DE MESSI APRÈS LE POTEAU 😱⚽,FrFOOT,UCrjqYuLcSRaNcQsrZHpnhuQ,"Après la frappe d’Alba contrée et le ballon qui revient, tout le monde attend la frappe… mais Messi lit la scène, feinte, contrôle et élimine défenseur + gardien en un seul geste génial. Like, commente et abonne-toi ! #football #soccer #messi #barcelone #skills #footballgenius #ballcontrol #footballmoments #shorts #shortvideo #foot",PT25S,fr,515106,17333,2026-01-19T13:26:04Z
Sports,17,p3_biHD_sqw,Qui se souvient de ce classique du coach algérien qui s'énerve ? 😂😂😂,MATHIS FOOTBALL,UC8qGHIL1k078urA9Q8-13tA,,PT32S,fr,332401,3727,2026-01-19T15:00:00Z
Sports,17,7v_j6vxoJpY,Alors ? 1️⃣ ou 2️⃣,Alex Freestyle,UCYTTg9R-cbMRPnVOj1l3tJw,,PT10S,fr,649677,24993,2026-01-16T16:00:19Z
Sports,17,C4UOMbbi8Us,JJB méchant ? 🤣 #football,2Freres2Frappes,UCXHYi57hE2Xch07upD-bFfg,,PT1M9S,fr,295188,19789,2026-01-19T17:00:17Z
Sports,17,7Xg0JaC0bjU,Brahim Diaz n'est pas lâche.,JEREM,UCffgNGLOydjNdkujor4130Q,,PT1M7S,fr,597600,30182,2026-01-19T12:38:16Z
Sports,17,CUJP2tG8p-g,Boumé choqué par l’agression du joueur du senegal,Boumé Sama,UCqcwr5S5S3dsjNjiw7UYwnQ,,PT38S,fr,359782,7766,2026-01-19T01:55:47Z
Sports,17,4fTqDLEi_a4,🤯 Le Meilleur Lanceur de Corée,MentalMusculeux,UCBLentRstjYWNE2B7GXISjg,#sport #lancer #baseball #pourtoi #foryou #foryourpage #karma #edit #storytelling #sports #foot #football #handball #basketball #corée,PT33S,fr,1128189,59622,2026-01-14T18:11:34Z
Sports,17,Fwx7OK-BgkE,🏀 Stephen Curry a enfin pris sa revanche sur ce shoot 💀,Roi des shorts ,UCghP1TrYa0QtuowFBLUxtVA,Abonne-toi a la chaine pour plus de vidéos.   #Shorts #shorts Shorts shorts #sport #foryou #foryoupage #edit #automobile #football #champion #karma #aura #basketball #nba #stephencurry #curry #basket,PT31S,fr-FR,2887966,121281,2026-01-09T15:45:41Z
