category_name,category_id,video_id,title,channel_title,channel_id,description,duration,language,views,likes,published_at
Film & Animation,1,xV_AGl1n_wk,Elle a montrée son talent #shorts,Tibulle123,UCrOAM_t6ly5-Lw1OyIZ5dQg,"#avengersendgame #ironman #citation #captainamerica #thor #marvel #marvelstudios #edit   #sigma #2k #motivation #citationdujour #mindset #focus #sigma #viralvideo #viralshorts #viralshort #viralvideos #viral #pourtoi #fyp #spiderman #spidermannowayhome  Crédits:  Film: American Girls Musique:  No Batidao  Ne pas juger l'apparence si on connait pas la personne qu'on juge   Apprentissage : Les apparences sont trompeuses    La musique, les graphiques et les images utilisé dans cette vidéo appartiennent a leur propriétaire légitime. Je ne possède rien a part le montage spécifique et le sous titrage original que j'ai réalisé. Mes vidéos visent à extraire d'une scène de film, avec un montage conséquent, des enseignements, des conseils, une moralité, une leçon ou des émotions pour faire réfléchir et réagir. Elle fournit des commentaires orignaux,  des critiques et une révision réfléchie, apportant une valeur ajoutée au delà des sources originales.",PT58S,fr,3981805,239788,2026-01-15T17:22:24Z
Film & Animation,1,1Gl1SNiCiWs,"Bruce Lee, Amazing Speed",The Ai Democracy,UCscUvfx_DG7dSe5aNZIyw2w,#brucelee #sora2 #movie,PT11S,en,49757336,1472451,2026-01-16T23:50:59Z
Film & Animation,1,JHNcAOP4rmo,Le pilote a contribué à rendre la voiture plus rapide🔥 #film,LeCoinDuFilm,UCATt4NQROPH2udEOYpRr2hw,,PT59S,fr,1026306,54890,2026-01-17T20:43:45Z
Film & Animation,1,CWPyMKZGFBY,🫡 Respect à cet homme…,Fitness-Muscu,UCev7uCn7hMoehbcMj1sadcQ,"Dans cette vidéo on passe en revue une animation sur un Héro  Personne n’a été blessé. Fait dans un cadre contrôlé  Fait par des professionnels entraînés dans un cadre supervisé. Ne pas reproduire.  If you are the owner of this video, please contact me at remi@fitness-muscu.com, and i will remove the video   This video follows the fair use guidelines imposed by my country (France) and any false copyright strike will be contested in the French court system.    Remarque : cette vidéo est réalisée à des fins éducatives uniquement, tout le monde est en sécurité.  Remarque : cette vidéo a été réalisée par un professionnel ; NE TENTEZ PAS DE LA REPRODUIRE.  Remarque : tout le monde est en sécurité.  Remarque : tout cela a été mis en scène.    🎬 Visuels : ©Propriétaire de la vidéo    🎙️ Narration, scénario : @fitness-muscu.    Remarque :    Si vous avez des questions concernant cette vidéo, qu'il s'agisse d'un problème de droits d'auteur ou d'une demande de suppression, n'hésitez pas à nous contacter à l'adresse  ((( )))  ⚖️ Clause de responsabilité légale    En vertu de l'article 107 de la loi de 1976 sur le droit d'auteur, l'« usage loyal » est autorisé à des fins telles que le commentaire, la critique, le reportage d'actualité, l'enseignement et la recherche. Cette disposition soutient l'utilisation à des fins éducatives, informatives et non commerciales",PT22S,fr,1248256,74444,2026-01-17T17:03:09Z
Film & Animation,1,Ag7N4GC_0CY,Il rétrécit jusqu'à voir le monde en grand. 🤔,Crossthememory,UCzsdGXNzB9m0wXZwU05Fiyg,,PT58S,fr,561109,23565,2026-01-19T17:00:52Z
Film & Animation,1,RzIqEXfJWCE,Il voulait juste ses écouteurs🥹 #shorts,FlixFollower,UCnaWwU3x4BW-Kr-bQEzaiuw,,PT54S,fr,1368063,77827,2026-01-16T21:14:05Z
Film & Animation,1,1G1yoCXjwaA,Basé sur une histoire vraie - son fils était son dernier espoir pour échapper à son kidnappeur.,MT Yatt TV,UCo2TT0KUMvhi8HTV45Ox3kg,"🎥 crédit : Room (2015) Musique : Klem - Message  Catégorie : Thriller/drame. Lauréat d’un oscar.  Vidéo à but de critique, d’information, d’inspiration ou de divertissement.  Toutes les scènes de cet extrait sont fictives et réalisées par des professionnels de l’audiovisuel et n’encouragent en aucun cas l’utilisation de la violence et des armes par des adultes, ni par des enfants en particulier.  #shorts #cinema #film #series #room #truestory #histoirevraie #motivation #inspiration #leçondevie #education #famille",PT1M55S,fr-FR,1104851,60742,2026-01-18T12:42:25Z
Film & Animation,1,vQ7lU90nlTQ,Il a mérité sa correction,Brenus,UC6PQc5nI7c5pkz7sURAEHYg,"Crédits:  Film🎥: One piece  Musique🎵: No batidao  #avengersendgame #ironman #citation #captainamerica #thor #marvel #marvelstudios #edit   #sigma #2k #motivation #citationdujour #mindset #focus #sigma #viralvideo #viralshorts #viralshort #viralvideos #viral #pourtoi #fyp #spiderman #spidermannowayhome iron man thor thanos captaine américain hulk  4 fantastic   Un homme peut paraître froid sans être indifférent. Le silence, la retenue et le sang-froid peuvent devenir des remparts contre l’injustice. Défendre un plus faible ne demande pas de colère, seulement la décision de ne pas laisser faire  Instruction du jour : La vraie protection ne fait pas de bruit ; elle se tient droite et dit non.  Les musiques, graphismes et images présents dans cette vidéo sont la propriété exclusive de leurs détenteurs légitimes. Je ne revendique aucun droit sur ces éléments, à l’exception du montage spécifique et du sous-titrage original que j’ai moi-même réalisés. Le but de mes vidéos  visent à extraire d'une scène de film, avec un montage conséquent , des enseignements, des conseils, des réflexions morales ou des  émotions afin de susciter la réflexion et la réaction chez le spectateur. Elles proposent une analyse personnelle, des commentaires originaux et une interprétation critique, apportant une  valeur ajoutée par rapport aux œuvres originales.",PT38S,fr,812985,43653,2026-01-18T16:11:26Z
Film & Animation,1,6_zvczlUYq0,"Elle veux L’ARNAQUER, mais… 😂 l Mob Psycho 100 l #anime #animeedit #shorts",Animoment VF,UCj_cMvvoZ6HRISAZq0PpFKg,,PT50S,fr,820024,63504,2026-01-17T16:45:01Z
Film & Animation,1,wkKs0FDUMvs,Il a fini par se suic*der parce que tout le monde se moquait de sa taille!😢 #shorts #film,Cinémix 3000,UC6c-b6Q4PdwthX-PMjs6LUg,"⚠️ Avertissement – Contenu de fiction  Cette vidéo contient des extraits d’une œuvre de fiction (film ou série), utilisés à des fins de critique, d’analyse, d’illustration et d’information, conformément au principe d’utilisation équitable (fair use).  Les scènes présentées sont entièrement fictives, interprétées par des acteurs professionnels dans le cadre d’une production audiovisuelle.  Ce contenu ne promeut, ne justifie ni ne glorifie la violence, la haine ou des comportements dangereux.  La vidéo est partagée à des fins artistiques, éducatives et de divertissement.  La discrétion du spectateur est recommandée.",PT1M14S,fr-FR,1945243,0,2026-01-14T17:15:05Z
Film & Animation,1,1seYMbPfXVo,Ils se sont attaqués à la mauvaise cible | #respect #aura #shorts,Yopis,UC4yKAmxy9v0xPqS0T9V92GA,Crédit: no limit,PT51S,fr,751860,49513,2026-01-17T12:43:34Z
Film & Animation,1,ALj3V2u9HJ0,QUAND Y’A UN CAMBRIOLEUR🏠🤣#humour #shorts,Le déraciné,UCpsvoU1qL4WLR6jvh1CWjhw,,PT21S,fr,587244,30560,2026-01-18T17:00:18Z
Film & Animation,1,S3qU6zpTJqo,Legendary Bruce Lee Coin Demo Leaves Host Speechless!,Built Different,UChoCV8QERjnhTKV5c4bwBJg,"""Watch Bruce Lee’s legendary precision in action with a 1970s TV show coin demonstration! Bruce Lee–inspired martial artist showcases his incredible speed, focus, and control by moving a coin with a single finger strike, leaving the host and audience in absolute shock.  This demonstration highlights not only his unmatched hand speed but also his mastery of mind-body control, Jeet Kune Do philosophy, and explosive precision. Witness why Bruce Lee was truly Built Different.  🎥 See more Bruce Lee inspired demonstrations on Built Different:  **Authentic References on Bruce Lee’s Speed & Demonstrations**  • Bruce Lee’s legendary lightning‑fast coin trick and speed demonstrations   https://vocal.media/fyi/why-many-consider-bruce-lee-super-human  • Bruce Lee’s one‑inch punch demo at Long Beach International Karate Championships   https://en.wikipedia.org/wiki/Long_Beach_International_Karate_Championships  • Physics & biomechanics behind his explosive power (Science breakdown)   https://archive.nerdist.com/bruce-lees-physics-one-inch-punch-science/  • Bruce Lee’s actual TV interview appearances in the early 1970s   https://en.wikipedia.org/wiki/Bruce_Lee%3A_The_Lost_Interview  • Bruce Lee unusual feats and demonstrations (IMDb trivia)   https://www.imdb.com/name/nm0000045/trivia/  #BruceLee #CoinDemo #BuiltDifferent #MartialArtsLegends #JeetKuneDo #ExplosivePrecision #MindBodyControl #1970sTV #LegendaryMartialArtist #MartialArtsScience",PT15S,en-US,22230139,696359,2026-01-17T00:15:06Z
Film & Animation,1,Z-n4uoXm8ME,Jones vs. Hurst | Police Academy 5 😅😅😅,CINEMAnuel,UCzPTf0OWQgv7shg0kz8YkbA,"Larvell Jones (Michael Winslow - die menschliche Soundeffekte/Beatbox) rächt sich an Commander Hurst (George Robertson), nachdem dieser seinen Sitz im Flugzeug zum Schlafen ziemlich weit nach hinten lässt und Jones den Platz raubt. Lustiger Clip aus Police Academy 5: Auftrag Miami Beach (OT: Police Academy 5: Assignment Miami Beach). Viel Spaß!  #PoliceAcademy5 #MiamiBeach #Hurst #Jones #80erKomödie  #RetroFilm #Lustig",PT23S,en,20415370,597960,2026-01-13T15:51:24Z
Film & Animation,1,HWyI0RCISEE,Quand ce sera mon tour d’être parent:,Assountïna,UCR5PY0zSAYfV8C5nGxZ8hWw,,PT31S,fr,602089,36471,2026-01-18T02:43:08Z
Film & Animation,1,uEXkxDuFLgc,#fyp#foryou#funny#pov #humour#comedia#povacting,Josh84MH,UCtR0fL-oWHq0gOCZUiA-ytQ,,PT26S,en-US,1147662,40839,2026-01-13T13:18:00Z
Film & Animation,1,5iY3uL9vbBk,#relatable #skit#comedy #funny#shorts #pov #humour #lego #memes #storytime #humor #edit #food,ct64,UC8FBz419N7gXp9pvK4nKA-Q,,PT46S,fr,889831,17901,2026-01-16T06:56:15Z
Film & Animation,1,EEyZOr-WyC4,“Il se fait avoir par un agent… et son chien saute par la fenêtre😭””#anime？#movie#foryou,Quiverith Film,UCzegsdZHQ5s93VtaE2Ae-Pg,,PT46S,fr-FR,609387,27438,2026-01-15T09:08:24Z
