category_name,category_id,video_id,title,channel_title,channel_id,description,duration,language,views,likes,published_at
Comedy,23,Ag7N4GC_0CY,Il rétrécit jusqu'à voir le monde en grand. 🤔,Crossthememory,UCzsdGXNzB9m0wXZwU05Fiyg,,PT58S,fr,561109,23579,2026-01-19T17:00:52Z
Comedy,23,RzIqEXfJWCE,Il voulait juste ses écouteurs🥹 #shorts,FlixFollower,UCnaWwU3x4BW-Kr-bQEzaiuw,,PT54S,fr,1368636,77836,2026-01-16T21:14:05Z
Comedy,23,2b3zqpC4fkc,top 6🤣🤣Julien beats #humour #drole #abonnetoi #subscribe,KDZ  OFF,UCK9trSjadKYooxbgPyXsyKg,,PT1M4S,en,946379,41104,2026-01-17T16:34:01Z
Comedy,23,XzY3efASrWw,Quand ma mère osait pas dire non devant tes potes #humour #pourtoi #foryou,nasgddrj,UCn-5Tuy_eLb1XtlCAEeG8eg,,PT58S,fr,1749891,72010,2026-01-14T10:31:01Z
Comedy,23,mjL53kFdKTM,#comedy #foryou #humour #funny #fyp,Jack,UCWUgk2CZ9gYIrEijEUqFB6A,,PT40S,fr,1019897,29909,2026-01-16T16:14:11Z
Comedy,23,wkKs0FDUMvs,Il a fini par se suic*der parce que tout le monde se moquait de sa taille!😢 #shorts #film,Cinémix 3000,UC6c-b6Q4PdwthX-PMjs6LUg,"⚠️ Avertissement – Contenu de fiction  Cette vidéo contient des extraits d’une œuvre de fiction (film ou série), utilisés à des fins de critique, d’analyse, d’illustration et d’information, conformément au principe d’utilisation équitable (fair use).  Les scènes présentées sont entièrement fictives, interprétées par des acteurs professionnels dans le cadre d’une production audiovisuelle.  Ce contenu ne promeut, ne justifie ni ne glorifie la violence, la haine ou des comportements dangereux.  La vidéo est partagée à des fins artistiques, éducatives et de divertissement.  La discrétion du spectateur est recommandée.",PT1M14S,fr-FR,1945696,0,2026-01-14T17:15:05Z
Comedy,23,vDN1dd69AKw,NE LES INVITEZ PAS 😂😅,Matthis et Alisée 🌱,UCtc8nVJJyNzljO-OGGGcQ6g,,PT59S,fr,612939,53969,2026-01-18T17:01:56Z
Comedy,23,1seYMbPfXVo,Ils se sont attaqués à la mauvaise cible | #respect #aura #shorts,Yopis,UC4yKAmxy9v0xPqS0T9V92GA,Crédit: no limit,PT51S,fr,752554,49527,2026-01-17T12:43:34Z
Comedy,23,xhSM4mev_ZA,IL A PIÉGÉ SON PETIT-FILS ! 😱💵🤫,Renard,UCIpZlT4tBRMD8kMMneXf0mg,Renard Malin #shorts,PT28S,fr,441977,16518,2026-01-19T17:01:39Z
Comedy,23,34v6L8HkbG8,Du jamais vu ! Cyprien 1er maître de midi prêt à partager l'étoile ! #12coupsdemidi,Les 12 Coups de Midi,UCwfQI2hGRh0t1SQMHYVHSrg,"🌟 Les #12CoupsdeMidi, c'est tous les jours dès 11h50 sur TF1 & TF1+  🌟 Plus de 𝗟𝗲𝘀 𝟭𝟮 𝗰𝗼𝘂𝗽𝘀 𝗱𝗲 𝗠𝗶𝗱𝗶 en streaming sur TF1+ https://www.tf1.fr/tf1/les-douze-coups-de-midi  Les jeux inclus dans ce programme diffusé en 2025 sont fermés",PT1M51S,fr,724668,21457,2026-01-17T15:00:07Z
Comedy,23,PG-fQsqYnjg,Toute ma scolarité 🥲,Monsieur Pof,UCNlqdJGKLYenAMNY4nevW-Q,,PT1M3S,fr,388291,37766,2026-01-20T15:44:13Z
Comedy,23,ALj3V2u9HJ0,QUAND Y’A UN CAMBRIOLEUR🏠🤣#humour #shorts,Le déraciné,UCpsvoU1qL4WLR6jvh1CWjhw,,PT21S,fr,587244,30582,2026-01-18T17:00:18Z
Comedy,23,vbUPtItTahw,Le réflexe du Kevin qui en dit long!,La Sotizerie,UCCeT4fTUiZJ0QCs65zii2uQ,,PT12S,fr,852688,17670,2026-01-14T17:40:46Z
Comedy,23,J44Tp_Ztkq4,Les Risques De S'improviser Coiffeur...#shorts #film #edit,Tibulle123,UCrOAM_t6ly5-Lw1OyIZ5dQg,"#avengersendgame #ironman #citation #captainamerica #thor #marvel #marvelstudios #edit   #sigma #2k #motivation #citationdujour #mindset #focus #sigma #viralvideo #viralshorts #viralshort #viralvideos #viral #pourtoi #fyp #spiderman #spidermannowayhome  Crédits:  Film: Young Sheldon (série S6 E4 ) Musique:  No Batidao  Apprendre un métier, ça ne s'improvise pas. Ce n'est qu'avec le temps et l'expérience que le talent émerge et que le geste devient sur. Si on n'est pas conscient de ces contingences, on s'expose a des déconvenues qui risquent de laisser des traces...   Apprentissage : C'est en forgeant qu'on devient forgeron  La musique, les graphiques et les images utilisé dans cette vidéo appartiennent a leur propriétaire légitime. Je ne possède rien a part le montage spécifique et le sous titrage original que j'ai réalisé. Mes vidéos visent à extraire d'une scène de film, avec un montage conséquent, des enseignements, des conseils, une moralité, une leçon ou des émotions pour faire réfléchir et réagir. Elle fournit des commentaires orignaux,  des critiques et une révision réfléchie, apportant une valeur ajoutée au delà des sources originales.",PT58S,fr,1541624,92976,2026-01-14T12:46:47Z
Comedy,23,Z-n4uoXm8ME,Jones vs. Hurst | Police Academy 5 😅😅😅,CINEMAnuel,UCzPTf0OWQgv7shg0kz8YkbA,"Larvell Jones (Michael Winslow - die menschliche Soundeffekte/Beatbox) rächt sich an Commander Hurst (George Robertson), nachdem dieser seinen Sitz im Flugzeug zum Schlafen ziemlich weit nach hinten lässt und Jones den Platz raubt. Lustiger Clip aus Police Academy 5: Auftrag Miami Beach (OT: Police Academy 5: Assignment Miami Beach). Viel Spaß!  #PoliceAcademy5 #MiamiBeach #Hurst #Jones #80erKomödie  #RetroFilm #Lustig",PT23S,en,20422770,598064,2026-01-13T15:51:24Z
