category_name,category_id,video_id,title,channel_title,channel_id,description,duration,language,views,likes,published_at
Entertainment,24,xV_AGl1n_wk,Elle a montrée son talent #shorts,Tibulle123,UCrOAM_t6ly5-Lw1OyIZ5dQg,"#avengersendgame #ironman #citation #captainamerica #thor #marvel #marvelstudios #edit   #sigma #2k #motivation #citationdujour #mindset #focus #sigma #viralvideo #viralshorts #viralshort #viralvideos #viral #pourtoi #fyp #spiderman #spidermannowayhome  Crédits:  Film: American Girls Musique:  No Batidao  Ne pas juger l'apparence si on connait pas la personne qu'on juge   Apprentissage : Les apparences sont trompeuses    La musique, les graphiques et les images utilisé dans cette vidéo appartiennent a leur propriétaire légitime. Je ne possède rien a part le montage spécifique et le sous titrage original que j'ai réalisé. Mes vidéos visent à extraire d'une scène de film, avec un montage conséquent, des enseignements, des conseils, une moralité, une leçon ou des émotions pour faire réfléchir et réagir. Elle fournit des commentaires orignaux,  des critiques et une révision réfléchie, apportant une valeur ajoutée au delà des sources originales.",PT58S,fr,3981805,239817,2026-01-15T17:22:24Z
Entertainment,24,-n3Zi4yCRQc,Bouteille Pay ! 🤣🤣🤣,PasDurrrr,UC6gnyHB_kKiCpmoXUWKuWvg,#prank #humour,PT17S,fr,2113559,116931,2026-01-17T01:13:11Z
Entertainment,24,1Gl1SNiCiWs,"Bruce Lee, Amazing Speed",The Ai Democracy,UCscUvfx_DG7dSe5aNZIyw2w,#brucelee #sora2 #movie,PT11S,en,49757661,1472717,2026-01-16T23:50:59Z
Entertainment,24,uxitBlpDP5s,Ma femme veut un câlin… moi je fonce voir mon bébé😭💀 #Viral #humor #fyp #family #baby #love #papa,LePapaPoule 🐓,UC8rmdqo9-TijFFvgib2aRCQ,,PT10S,fr,1811208,44359,2026-01-16T17:28:20Z
Entertainment,24,JHNcAOP4rmo,Le pilote a contribué à rendre la voiture plus rapide🔥 #film,LeCoinDuFilm,UCATt4NQROPH2udEOYpRr2hw,,PT59S,fr,1026916,54900,2026-01-17T20:43:45Z
Entertainment,24,35uDPDHxJ8o,😳 Le mystère de cet bête étrange…,Fitness-Muscu,UCev7uCn7hMoehbcMj1sadcQ,"Dans cette vidéo on parle d’une légend dans le catch WWE ou un des catcheurs professionnel utilise un faux animal pour faire peur ou envoyer du jet orange  Personne n’a été blessé. Fait dans un cadre contrôlé  Fait par des professionnels entraînés dans un cadre supervisé. Ne pas reproduire.  If you are the owner of this video, please contact me at remi@fitness-muscu.com, and i will remove the video   This video follows the fair use guidelines imposed by my country (France) and any false copyright strike will be contested in the French court system.    Remarque : cette vidéo est réalisée à des fins éducatives uniquement, tout le monde est en sécurité.  Remarque : cette vidéo a été réalisée par un professionnel ; NE TENTEZ PAS DE LA REPRODUIRE.  Remarque : tout le monde est en sécurité.  Remarque : tout cela a été mis en scène.    🎬 Visuels : ©Propriétaire de la vidéo    🎙️ Narration, scénario : @fitness-muscu.    Remarque :    Si vous avez des questions concernant cette vidéo, qu'il s'agisse d'un problème de droits d'auteur ou d'une demande de suppression, n'hésitez pas à nous contacter à l'adresse  ((( )))  ⚖️ Clause de responsabilité légale    En vertu de l'article 107 de la loi de 1976 sur le droit d'auteur, l'« usage loyal » est autorisé à des fins telles que le commentaire, la critique, le reportage d'actualité, l'enseignement et la recherche. Cette disposition soutient l'utilisation à des fins éducatives, informatives et non commerciales",PT38S,fr,1368211,68102,2026-01-17T19:41:34Z
Entertainment,24,hAu1cKoVUOY,Je n’ai droit à aucune intimité 😭#abregefrere #couple #humour #cabinedessayage,abregefrere,UCGYVKSQXlRSUp-Ycp5miJKw,Je n’ai droit à aucune intimité 😭 #abregefrere #couple #humour #cabinedessayage,PT17S,en,532328,0,2026-01-20T15:31:46Z
Entertainment,24,bnoSf_2vhtw,Maudit correcteur automatique... #humour #sketch #couple #rigolo #correcteur #message #dispute,Ton pote Gillian,UCPwJrU0Xs2ewNufzHCc6Tnw,,PT26S,fr,631079,37609,2026-01-18T16:16:36Z
Entertainment,24,Ag7N4GC_0CY,Il rétrécit jusqu'à voir le monde en grand. 🤔,Crossthememory,UCzsdGXNzB9m0wXZwU05Fiyg,,PT58S,fr,561109,23579,2026-01-19T17:00:52Z
Entertainment,24,RzIqEXfJWCE,Il voulait juste ses écouteurs🥹 #shorts,FlixFollower,UCnaWwU3x4BW-Kr-bQEzaiuw,,PT54S,fr,1368636,77836,2026-01-16T21:14:05Z
Entertainment,24,1G1yoCXjwaA,Basé sur une histoire vraie - son fils était son dernier espoir pour échapper à son kidnappeur.,MT Yatt TV,UCo2TT0KUMvhi8HTV45Ox3kg,"🎥 crédit : Room (2015) Musique : Klem - Message  Catégorie : Thriller/drame. Lauréat d’un oscar.  Vidéo à but de critique, d’information, d’inspiration ou de divertissement.  Toutes les scènes de cet extrait sont fictives et réalisées par des professionnels de l’audiovisuel et n’encouragent en aucun cas l’utilisation de la violence et des armes par des adultes, ni par des enfants en particulier.  #shorts #cinema #film #series #room #truestory #histoirevraie #motivation #inspiration #leçondevie #education #famille",PT1M55S,fr-FR,1106679,60765,2026-01-18T12:42:25Z
Entertainment,24,2b3zqpC4fkc,top 6🤣🤣Julien beats #humour #drole #abonnetoi #subscribe,KDZ  OFF,UCK9trSjadKYooxbgPyXsyKg,,PT1M4S,en,946379,41104,2026-01-17T16:34:01Z
Entertainment,24,vQ7lU90nlTQ,Il a mérité sa correction,Brenus,UC6PQc5nI7c5pkz7sURAEHYg,"Crédits:  Film🎥: One piece  Musique🎵: No batidao  #avengersendgame #ironman #citation #captainamerica #thor #marvel #marvelstudios #edit   #sigma #2k #motivation #citationdujour #mindset #focus #sigma #viralvideo #viralshorts #viralshort #viralvideos #viral #pourtoi #fyp #spiderman #spidermannowayhome iron man thor thanos captaine américain hulk  4 fantastic   Un homme peut paraître froid sans être indifférent. Le silence, la retenue et le sang-froid peuvent devenir des remparts contre l’injustice. Défendre un plus faible ne demande pas de colère, seulement la décision de ne pas laisser faire  Instruction du jour : La vraie protection ne fait pas de bruit ; elle se tient droite et dit non.  Les musiques, graphismes et images présents dans cette vidéo sont la propriété exclusive de leurs détenteurs légitimes. Je ne revendique aucun droit sur ces éléments, à l’exception du montage spécifique et du sous-titrage original que j’ai moi-même réalisés. Le but de mes vidéos  visent à extraire d'une scène de film, avec un montage conséquent , des enseignements, des conseils, des réflexions morales ou des  émotions afin de susciter la réflexion et la réaction chez le spectateur. Elles proposent une analyse personnelle, des commentaires originaux et une interprétation critique, apportant une  valeur ajoutée par rapport aux œuvres originales.",PT38S,fr,813891,43674,2026-01-18T16:11:26Z
Entertainment,24,8TPwYQS5WXk,"Quand j'étais petit, je me suis pris une heure de colle pour rien...",120,UCSc6-tibHhQrMycThRDnOYw,Je me suis chopé ma première heure de colle en permanence pour une raison super nulle...,PT1M5S,fr,1016205,74871,2026-01-17T16:00:09Z
Entertainment,24,6_zvczlUYq0,"Elle veux L’ARNAQUER, mais… 😂 l Mob Psycho 100 l #anime #animeedit #shorts",Animoment VF,UCj_cMvvoZ6HRISAZq0PpFKg,,PT50S,fr,820024,63509,2026-01-17T16:45:01Z
Entertainment,24,B7G482a3xw4,Parfois l'impolitesse gagne 🤣🤣,L'observateur Moderne,UC85yDHXlXZOQBSejL_NEKKw,"⚠️ IMPORTANT: Si un extrait ou une image utilisés dans mes vidéos vous appartiennent et que vous souhaitez leur retrait, contactez-moi à l’adresse suivante : contact.boomlyrics@gmail.com, et je supprimerai le contenu concerné sans délai.  Lorsque la source d’un contenu est connue, elle est mentionnée directement dans la vidéo, le titre ou la description afin de respecter le travail de l’auteur original.  Observateur Moderne est une chaîne qui est indépendante, non affiliée aux créateurs originaux. Elle sert juste à apporter un minimum de sourire 🙂   #humour #drole #lobservateurmoderne #blague #mdr #rire #frenchhumour #sketch #humoristique #videodrole #memes #snapdrole #snapfr #shorts #instashorts #humourmemes #tiktokfr #tiktokfrance",PT1M,fr-FR,847960,51390,2026-01-17T11:00:00Z
Entertainment,24,qu9ivrn-X4I,Une semaine dans un caillou,Teddy Raconte,UCsq7jMw2A0ew_0KCX5GJTDQ,,PT47S,fr,993886,57644,2026-01-16T17:01:33Z
Entertainment,24,XzY3efASrWw,Quand ma mère osait pas dire non devant tes potes #humour #pourtoi #foryou,nasgddrj,UCn-5Tuy_eLb1XtlCAEeG8eg,,PT58S,fr,1749891,72010,2026-01-14T10:31:01Z
Entertainment,24,Imy4yYq9IW4,"UNDERCOVER NOCTURNE (Avec Anyme, Byilhan, Leila, Sofyan, Elian, Cocotte, Hctuan, Zaf, Raska, Doig)",Mastu,UCAhaFPP6v3WCfK5Tjao0B7A,"Téléchargez REVOLUT gratuitement avec ce lien  👉  https://get.revolut.com/z4lF/MaStu  Vous pourrez obtenir 20 € et participer au tirage au sort pour gagner 10 000 € (voir conditions générales).  Collaboration commerciale.  Nouvel épisode d’Undercover ! Merci à Anyme, Leila, Byilhan, Cocotte, Sofyan, Zafeel, Hctuan, Elian, Raska et Doigby (le père Noël fou) !  PRODUCTION : 3D2Y   Un concept de Mastu rendu possible avec l’accord de Yanstar Studio, un grand merci à eux de nous permettre l'adaptation de leur jeu Undercover.   Merci aux équipes !   Edito : Mastu, Brice Agent : Bloom Directrice de production : Carla Leprou Blanchard Assistantes de production : Ilona Druet & Luane Angenard  Chef opérateur vidéo : Pierre Le Louarn Cadreurs : Andy Caroça, Cédric Cheng, Noah Leprou Blanchard, Téo Erker, Pablo Ruiz, Benjamin Calvin, Simon Fegyveres, Ulysse Pointcheval, Léa De Sousa, Clément Sausseau  Photographe  : Shelly Anquetin   Chef électricien : Gio Bernardin Électricien : Jérémie Veuthey Électricienne : Jade Lebris  Chef opérateur son : Thomas Claire Ingénieur son : Alban Lejeune   Chef décorateur Hugo Cudot 1ère assistante décoratrice : Romane Terry Assistant-es décorateur : Luca Salvatore, Sofia Khier, Jules Bourbousson, Olivia, Chloé  Superviseur VFX : Marius Kamienieck Assistant-es VFX : Thomas Le Texier, Oriane Brisson  Cheffe costumière : Andréa Djidjirian Assistante costumière : Anaïs Borreguero  Makeup FX : So Agency   Cascadeurs : Manon Koltes, Stiven Brouard, Benji Poquet, Théo Auvinet, Pierre Guillaume, Thomas Fischer, Charlotte Auberget, Loriane Nuixa  Régisseur général : Fast Régie - Hugo Leggins Régisseur adjoint : Matteo Wust Régisseur : Lancelot Moreau Régisseur : Adrien Brouard  Montage : Jonas, Mewen Montage sponso : Sam Illustration : nasuumi Miniature : Hugo, Staku",PT51M28S,fr,2583265,178174,2026-01-17T10:02:00Z
Entertainment,24,0ux2iUBLLoc,"Les lives activités d'Anyme c'est quand même quelque chose 1 ballon 1 bougie, ça suffit",La_Twitcherie_FR,UCtjxxusUX9wYtBweA3j6Pyg,#anyme #twitch #clips #live #drole #shorts @AnymeTV,PT18S,fr,490034,12659,2026-01-18T10:30:01Z
Entertainment,24,wkKs0FDUMvs,Il a fini par se suic*der parce que tout le monde se moquait de sa taille!😢 #shorts #film,Cinémix 3000,UC6c-b6Q4PdwthX-PMjs6LUg,"⚠️ Avertissement – Contenu de fiction  Cette vidéo contient des extraits d’une œuvre de fiction (film ou série), utilisés à des fins de critique, d’analyse, d’illustration et d’information, conformément au principe d’utilisation équitable (fair use).  Les scènes présentées sont entièrement fictives, interprétées par des acteurs professionnels dans le cadre d’une production audiovisuelle.  Ce contenu ne promeut, ne justifie ni ne glorifie la violence, la haine ou des comportements dangereux.  La vidéo est partagée à des fins artistiques, éducatives et de divertissement.  La discrétion du spectateur est recommandée.",PT1M14S,fr-FR,1945696,0,2026-01-14T17:15:05Z
Entertainment,24,vDN1dd69AKw,NE LES INVITEZ PAS 😂😅,Matthis et Alisée 🌱,UCtc8nVJJyNzljO-OGGGcQ6g,,PT59S,fr,612939,53969,2026-01-18T17:01:56Z
Entertainment,24,1seYMbPfXVo,Ils se sont attaqués à la mauvaise cible | #respect #aura #shorts,Yopis,UC4yKAmxy9v0xPqS0T9V92GA,Crédit: no limit,PT51S,fr,752554,49527,2026-01-17T12:43:34Z
Entertainment,24,TYMH-8XrtMw,LE GARS LE PLUS SYMPA💵🤣#humour #shorts,Le déraciné,UCpsvoU1qL4WLR6jvh1CWjhw,,PT18S,fr,345199,20634,2026-01-20T17:00:03Z
Entertainment,24,XEH9UG0yCRI,QUI TOMBERA SUR LE PIMENT ? 😲🌶🔥 #shortsvideo,PLPSTUDIO,UCHP8mU1KI6YJCQjqhuC1FJA,UN JEU TRÈS PIMENTÉ 🔥,PT1M3S,fr,599417,23023,2026-01-19T13:54:20Z
Entertainment,24,H-WMU1NHbME,RITON ENGINEERING !!!,La Sotizerie,UCCeT4fTUiZJ0QCs65zii2uQ,,PT12S,fr,1309502,18652,2026-01-18T18:25:11Z
Entertainment,24,xhSM4mev_ZA,IL A PIÉGÉ SON PETIT-FILS ! 😱💵🤫,Renard,UCIpZlT4tBRMD8kMMneXf0mg,Renard Malin #shorts,PT28S,fr,441977,16518,2026-01-19T17:01:39Z
Entertainment,24,34v6L8HkbG8,Du jamais vu ! Cyprien 1er maître de midi prêt à partager l'étoile ! #12coupsdemidi,Les 12 Coups de Midi,UCwfQI2hGRh0t1SQMHYVHSrg,"🌟 Les #12CoupsdeMidi, c'est tous les jours dès 11h50 sur TF1 & TF1+  🌟 Plus de 𝗟𝗲𝘀 𝟭𝟮 𝗰𝗼𝘂𝗽𝘀 𝗱𝗲 𝗠𝗶𝗱𝗶 en streaming sur TF1+ https://www.tf1.fr/tf1/les-douze-coups-de-midi  Les jeux inclus dans ce programme diffusé en 2025 sont fermés",PT1M51S,fr,724668,21457,2026-01-17T15:00:07Z
Entertainment,24,PG-fQsqYnjg,Toute ma scolarité 🥲,Monsieur Pof,UCNlqdJGKLYenAMNY4nevW-Q,,PT1M3S,fr,388291,37766,2026-01-20T15:44:13Z
Entertainment,24,S3YrDViETAE,It's the best thing I've seen today 🥹❤️,Teddy Dear,UCJL9mc_79mw7ud8Yw9CBlHw,It's the best thing I've seen today 🥹❤️,PT19S,hi,43917851,1645025,2026-01-13T13:09:09Z
