category_name,category_id,video_id,title,channel_title,channel_id,description,duration,language,views,likes,published_at
News & Politics,25,RMDTfAF0Uws,"Vols de câbles en cuivre : 4,5 millions d'euros d'avoirs criminels saisis｜TF1 INFO",TF1 INFO,UCsrPUA0ZSDCNZC6wyRlR7ZA,"💶 Trois personnes ont été mises en examen, dans le cadre d'une enquête sur des vols de câbles en cuivre, a annoncé samedi la gendarmerie. Dans cette affaire, plus de 4,5 millions d'euros d'avoirs criminels ont été saisis, dont le château de Gondreville dans l'Oise.  ➡️ Toute l’actualité en direct sur https://www.tf1info.fr  🤳 Suivez-nous sur les réseaux  Instagram : https://www.instagram.com/tf1info Facebook : https://www.facebook.com/TF1Info TikTok : https://www.tiktok.com/@tf1info Twitter : https://twitter.com/TF1Info",PT1M11S,fr,417134,9236,2026-01-20T05:00:24Z
News & Politics,25,Jml6qnwfYrY,Donald Trump dévoile un message privé envoyé par Emmanuel Macron,M6 Info,UC3Sk_YpjPd_Lz_oPQfhPQXQ,Donald Trump a dévoilé une capture d'écran d'un message privé envoyé par Emmanuel Macron dans lequel le président français lui propose d'organiser un sommet du G7 et un dîner à l'Élysée dans la foulée.  🔔 Abonnez-vous à notre chaîne https://youtube.com/@M6Info/?sub_confirmation=  💡 L’actualité avec #M6info sur vos réseaux sociaux : https://www.tiktok.com/@M6info_ https://www.facebook.com/M6info https://www.instagram.com/M6info/ https://www.linkedin.com/company/M6info/ https://story.snapchat.com/p/1af4c627-edeb-4155-a04a-95e6732af0a3 💻 Le #12h45 et le #19h45 sur M6+ : https://www.m6.fr/le-1945-p_1058,PT1M51S,fr-FR,332777,11385,2026-01-20T14:50:24Z
News & Politics,25,k3jknNttaO8,"Gallagher Fenwick : ""Les Etats-Unis sont la première menace mondiale"".",Mizane TV,UCw90x_H4nT5KJnGD6XksSmA,Pour nous soutenir financièrement : https://www.mizane.info/soutenez-nous/ Inscrivez-vous à la Newsletter : https://www.mizane.info/newsletter/  Retrouvez les livres sur : https://librairiedelorient.fr  Suivez-nous : ▶️ SITE : https://www.mizane.info ▶️ FACEBOOK : https://www.facebook.com/MizaneInfo ▶️ TWITTER : https://twitter.com/MizaneInfo ▶️ INSTAGRAM : https://www.instagram.com/mizane.tv ▶️ TIKTOK : https://www.tiktok.com/@mizane.tv ▶️ SPOTIFY : https://open.spotify.com/show/0p3cBJhQSvMxLR2WyVBTiV,PT1M2S,fr,765032,26588,2026-01-15T11:57:27Z
News & Politics,25,62LCjwV1JSo,Donald Trump rejette l’invitation lancée par Emmanuel Macron à une réunion au G7,BFMTV,UCXwDLMDV86ldKoFVc_g8P0g,"Le 20 janvier 2025, le milliardaire a été investi en tant que 47e président des États-Unis pour son second mandat à la Maison Blanche. Un an après jour pour jour, Donald Trump prend la parole ce mardi 20 janvier à l'occasion d'une conférence de presse surprise dès 19 heures. Tensions autour du Groenland, menaces douanières, Iran... L'actualité autour du président américain est chargée.",PT32S,fr,97720,2515,2026-01-20T21:44:16Z
News & Politics,25,URIiySZ83Hw,"FACE À TRUMP : LES MÉDIAS ENTRE ADMIRATION, SIDÉRATION ET EMBARRAS","BLAST, Le souffle de l'info",UC__xRB5L4toU9yYawt_lIKg,"Soutenez Blast, nouveau média indépendant : https://www.blast-info.fr/soutenir  ""Aujourd'hui, on va revenir sur un début janvier chargé en actualité internationale. Malgré la neige, les agriculteurs et l'actualité parlementaire, il a fallu parler d’international dans les médias français. Il a fallu parler de Trump surtout. Du Venezuela à l'Iran en passant par le Groenland, il était difficile de passer sous silence les sorties quotidiennes du président étasunien. D'autant plus que cette fois, celui ci n'a pas seulement menacé ou insulté, il a attaqué un pays voisin.""  Nouvel épisode de Rhinocéros, par Usul et Lumi.  Chroniqueurs : Lumi, Usul Montage : Harkiadel Images : Hamza Benkirane Production : Kathleen Brun - RED POP Graphisme : Margaux Simon, Morgane Sabouret Directeur du développement des collaborations extérieures : Mathias Enthoven Co-directrice de la rédaction : Soumaya Benaïssa Directeur de la publication : Denis Robert  Le site : https://www.blast-info.fr/ Facebook : https://www.facebook.com/blastofficiel Twitter : https://twitter.com/blast_france Instagram : https://www.instagram.com/blastofficiel/ Mastodon : https://mamot.fr/web/@blast_info Peertube : https://video.blast-info.fr/ Twitch : https://www.twitch.tv/blastinfo Bluesky : https://bsky.app/profile/blast-info.fr  #Rhinocéros #trump #venezuela",PT21M29S,fr,346160,16107,2026-01-18T17:00:50Z
News & Politics,25,DhbIBaQdXyQ,"Après le Groenland, Trump menace l’Europe, qui répond",HugoDécrypte - Actus du jour,UCAcAnMF0OrCtUep3Y4M-ZPw,"Vidéo intégrant une collaboration commerciale avec Plaud. Avec le code HUGO1, vous pouvez bénéficier de 10€ de remise à l’achat d’un Note ou d’un NotePin ou directement via le lien juste ici : https://hugodecry.pt/plaudai.notepins.  Et pour profiter de cette même remise sur les autres produits de la marque, rendez-vous : ici pour le NotePin : https://hugodecry.pt/plaudai.notepin et ici pour le Note : https://hugodecry.pt/plaudai.note #plaud #plaudai #PlaudNotepinS (Les données sont bien sécurisées et cryptées conformément aux normes ISO 27001, ISO 27701, GDPR, HIPAA, SOC 2, and EN 18031).  📺 Pour découvrir et vous abonner à notre chaine ""Grands Formats"" (interviews, enquêtes, reportages) :  @hugodecryptegrandsformats     📲 L’actualité chaque jour, sur Instagram : https://www.instagram.com/hugodecrypte/ 🗞️ L'essentiel de l'actualité, gratuitement, par email : https://inscription.kessel.media/hugodecrypte  🎧 Ce format existe aussi en podcast audio !  Spotify : https://open.spotify.com/show/6y1PloEyNsCNJH9vHias4T?si=KD-nQHsfRBWoeK2ow96t6w&nd=1&dlsi=f297778db5fc45a9 Apple Podcast : https://podcasts.apple.com/fr/podcast/les-actus-du-jour-hugo-d%C3%A9crypte/id1552365367 Deezer : https://www.deezer.com/fr/show/2270682 (et toutes les apps de podcast)  📱 SUR INSTAGRAM, RETROUVEZ :   🌍 L'actualité : https://www.instagram.com/hugodecrypte/ 🍿 L'actualité culturelle : https://www.instagram.com/hugodecrypte.pop ⚽️ L'actualité sportive : https://www.instagram.com/hugodecrypte.sport 🧭 Pour vous accompagner dans votre vie d'adulte : https://www.instagram.com/elan.media/  –  🔗 DES LIENS POUR EN SAVOIR PLUS   MENACES ÉTATS-UNIS GROENLAND   https://www.lemonde.fr/international/article/2026/01/18/face-a-la-menace-de-nouvelles-taxes-trump-les-europeens-prets-a-riposter-entre-nouveaux-droits-de-douane-et-mesures-anticoercition_6663108_3210.html   https://www.france24.com/fr/europe/20260118-groenland-apr%C3%A8s-les-menaces-de-surtaxes-douani%C3%A8res-de-trump-l-ue-peaufine-sa-riposte   https://www.nouvelobs.com/monde/20260118.OBS111620/qu-est-ce-que-l-instrument-anti-coercition-le-bazooka-de-l-ue-evoque-par-macron-pour-contrer-les-droits-de-douane-de-trump.html   https://www.bbc.com/news/articles/c87r41j4n4jo   ACCIDENT ESPAGNE   https://elpais.com/espana/2026-01-18/ultima-hora-del-descarrilamiento-de-dos-trenes-en-adamuz.html  https://es.euronews.com/2026/01/18/un-tren-iryo-descarrila-en-cordoba-y-choca-contra-un-ave-que-cubria-la-ruta-madrid-huelva   BUDGET 2026 FRANCE  https://www.france24.com/fr/vid%C3%A9o/20260119-budget-2026-ordonnances-49-3-le-choix-de-s%C3%A9bastien-lecornu  https://www.lemonde.fr/politique/article/2026/01/19/budget-2026-les-dernieres-annonces-permettent-d-envisager-la-non-censure-dit-boris-vallaud-le-choix-entre-49-3-et-ordonnance-attendu-lundi_6663191_823448.html  GAZA - CONSEIL PAIX  https://www.lemonde.fr/international/article/2026/01/18/gaza-la-france-envoie-pres-de-400-tonnes-d-aide-alimentaire_6663136_3210.html   https://www.liberation.fr/international/amerique/gaza-donald-trump-invente-le-ticket-dentree-a-un-milliard-de-dollars-a-son-conseil-de-paix-20260118_H6WPMYBABNB4LG5FTRKZVLTOEM/  CESSEZ-LE-FEU SYRIE   https://www.lemonde.fr/international/article/2026/01/18/en-syrie-le-president-ahmed-al-charaa-annonce-un-accord-de-cessez-le-feu-avec-le-chef-des-forces-kurdes_6663131_3210.html  https://www.rfi.fr/fr/moyen-orient/20260118-en-direct-syrie-arm%C3%A9e-gouvernementale-continue-sa-progression-face-aux-forces-kurdes  PITON DE LA FOURNAISE  https://www.huffingtonpost.fr/environnement/video/la-reunion-le-piton-de-la-fournaise-connait-une-nouvelle-eruption-deux-ans-et-demi-apres-la-derniere_259350.html#:~:text=Celle%2Dci%20est%20localis%C3%A9e%20dans,biens%20ou%20de%20l'environnement  https://www.20minutes.fr/monde/4196659-20260118-premiere-eruption-plus-deux-ans-piton-fournaise-reunion   PARCOURSUP :   https://www.publicsenat.fr/actualites/education/parcoursup-2026-le-coup-denvoi-est-lance  https://www.ouest-france.fr/presse-ocean/po-vous-repond/parcoursup-2026-les-cinq-points-indispensables-a-connaitre-pour-les-lyceens-et-etudiants-b82765c6-f543-11f0-bfca-235f15251990   SOMMAIRE  00:00 Trump menace l'Europe de guerre commerciale 09:00 Déraillement d’un train en Andalousie 09:53 Sébastien Lecornu va utiliser le 49.3 10:56 Proche-Orient : Dernières infos 13:08 Cessez-le-feu conclu en Syrie 14:07 Le Piton de la Fournaise en éruption 14:42 Début de la phase des voeux de Parcoursup 15:14 Outro 15:35 Collaboration commerciale   Écriture : Blanche Vathonne - Léah Boukobza - Samy Rabbata - Eden Ayach - Mathys Debril - Hugo Travers  Montage : Manon Langlais - Anthony Ochoa Miniature : Dorian Hincker",PT16M48S,fr,447071,12118,2026-01-19T19:09:50Z
News & Politics,25,w80Kmk9AQgI,Finale CAN 2025 : Le Maroc doit-il en vouloir à Brahim Diaz pour sa panenka ratée ?,L'ÉQUIPE,UCyIV8rkza5Uk_sJIhqilBvQ,"Après plusieurs minutes de flottement, Brahim Diaz a manqué le penalty qui aurait pu offrir la victoire au Maroc contre le Sénégal en finale de la CAN, avec une panenka complètement manquée devant Edouard Mendy. Le Maroc doit-il lui en vouloir ? C'est le débat dans l'Equipe du soir.  #can2025 #maroc #senegal   Abonnez-vous à notre chaîne pour ne rien manquer 👉 https://l.lequipe.fr/F0V  🌟 Restez à l'affût des news sur l'Équipe.fr  👉 https://l.lequipe.fr/Jmf 📲 Abonnez-vous à notre offre numérique 👉 https://l.lequipe.fr/SD3 📺 Regardez La chaîne L'Équipe 👉 https://l.lequipe.fr/SD3  Suivez-nous sur nos réseaux sociaux :   🔵 Facebook 👉 https://l.lequipe.fr/CPT  🍇Tiktok 👉 https://l.lequipe.fr/caK 🐦 X👉 https://l.lequipe.fr/m51 📸 Instagram 👉 https://l.lequipe.fr/oba 👻 Snapchat 👉 https://l.lequipe.fr/RdM 🎮 Twitch 👉 https://l.lequipe.fr/lLj   ----------  L'Équipe, c'est :  Le premier titre d'information sportive en France, avec une couverture inégalée. La première chaîne gratuite 100% sport en France, offrant un contenu exclusif et diversifié. Le leader de l'information sportive en ligne, avec plus de 10 000 reportages réalisés et une présence dans plus de 100 pays. Chaque jour, plus de 300 journalistes sont sur le terrain, dans toutes les disciplines sportives, pour vous offrir une expérience immersive et complète de l'univers sportif.  Rejoignez-nous pour vivre la passion du sport comme jamais auparavant !  -----------------  #sport #lequipe #highlights #football #tennis #cyclisme #biathlon #rugby #CopadelRey #RealMadrid #Barça #psg #om #lyon #lille #monaco #sports #ligue1 #equipefrance #championsleague #europaleague #coupefrance #mercato #transferts #ronaldo #messi #neymar #mbappe #benzema #griezmann #dembélé #tourdefrance #rolandgarros #jo2024 #basketball #handball #volley #coupedumonde",PT24M13S,fr,461989,4289,2026-01-18T23:04:35Z
News & Politics,25,M-B6-Kc7UCg,Et la finale de la CAN vira au grand n'importe quoi,Le Parisien,UCfHn_8-ehdem86fEvlFg-Gw,"Le Sénégal a battu le Maroc en finale de la Coupe d'Afrique des nations. Les Lions de la Teranga remportent leur deuxième titre continental après une rencontre marquée par des violences en tribune et le retrait temporaire de l'équipe du terrain. La conférence de presse du vainqueur a dû être annulée pour des raisons de sécurité. Stéphane Bianchi, reporter au Parisien, était dans les tribunes du stade de Rabat au Maroc. Il raconte.   Pour ne rien manquer de l’actualité du Parisien :    🎥 Ne ratez aucune de nos vidéos : https://urlr.me/!YoutubeLeParisien    🔔 Suivre toute l’actualité avec notre abonnement : https://urlr.me/!abonnementleparisien    ✉️ En savoir plus sur l’actualité avec notre newsletter : https://bit.ly/new-sletters    👂 Retrouvez nos différents podcasts :    Code Source: L’actualité quotidienne du Parisien : https://bit.ly/_Codesource  Crime Story: Le podcast faits-divers du Parisien: https://bit.ly/_Crimestory    Suivez-nous :   Instagram : https://bit.ly/_insta_Learisien  Facebook : https://bit.ly/_leparisien  Tiktok : https://bit.ly/_TikTok_LeParisien   X : https://urlr.me/!Twitter_LeParisien  Snapchat : https://bit.ly/_Snapchat_LeParisien",PT7M10S,fr,304755,6023,2026-01-19T22:52:14Z
News & Politics,25,iAFyhXjLjeU,"Sénégal-Maroc : une fin de match ""gâchée"" pour les supporters • FRANCE 24",FRANCE 24,UCCCPCZNChQdGa9EkATeye4g,"Un penalty sifflé à la toute fin du temps règlementaire a fait dégénérer la finale entre le Sénégal et le Maroc. Embrouille des staffs, supporters sénéglaais qui tentent de pénétrer sur la pelouse... de quoi ""gâcher le match"" pour les supporters des deux bords. #CAN2025 #Maroc #Sénégal  🔔 Abonnez-vous à notre chaîne sur YouTube : https://f24.my/YTfr 🔴 En DIRECT - Suivez FRANCE 24 ici : https://f24.my/YTliveFR  🌍 Retrouvez toute l’actualité internationale sur notre site : https://www.france24.com/fr/ 📲 Recevez votre concentré d'information sur WhatsApp : https://f24.my/WAfr et sur Telegram : https://f24.my/TGfr  Rejoignez-nous sur Facebook : https://f24.my/FBfr Suivez-nous sur X : https://f24.my/Xfr Bluesky : https://f24.my/BSfr et Threads : https://f24.my/THfr Parcourez l’actu en images sur Instagram : https://f24.my/IGfr Découvrez nos vidéos TikTok : https://f24.my/TKfr",PT1M29S,fr,302725,7595,2026-01-19T00:08:35Z
News & Politics,25,HxLCIZjH_-0,"المغرب يجر السنغال للمحاكم! 🇲🇦⚖️ مسؤول جامعي يفجرها: ""ملفكم في زيوريخ.. وغاتخلصوا الثمن غالي",KOORA BUZZ ,UCVOet0Gvojpzz_m4CbUvWHg,"اللعب انتهى، والجد بدأ! 📉 مسؤول بالجامعة الملكية يخرج بتصريح ناري بعد انسحاب السنغال: ""رفعنا دعوى قضائية للفيفا والطاس"". المغرب يرفض الفوضى ويطالب بتعويضات وعقوبات قاسية على المنتخب السنغالي. هل ستتم معاقبة السنغال بالحرمان من البطولات القادمة؟ 👇 هل تؤيد تصعيد القضية للفيفا؟ ⚠️ تنبيه هام (AI Disclaimer): هذا الفيديو سيناريو تخيلي (Fictional Scenario). الشخصية والحوار يمثلان محاكاة درامية لأحداث مفترضة (انسحاب فريق ولجوء للقضاء)، ولا يمثلان تصريحاً رسمياً حقيقياً من الجامعة الملكية المغربية لكرة القدم. #المغرب #السنغال #الفيفا #CAF #انسحاب_السنغال #الجامعة_الملكية #FRMF #قضية_الموسم #Shorts",PT16S,ar,445585,9914,2026-01-19T18:23:38Z
