category_name,category_id,video_id,title,channel_title,channel_id,description,duration,language,views,likes,published_at
Autos & Vehicles,2,NJt3mpKmNc0,😭 Le secret de sa vitesse…,Fitness-Muscu,UCev7uCn7hMoehbcMj1sadcQ,"Dans cette vidéo on passe en revue le secret de la vitesse d’une cycliste professionnelle  Personne n’a été blessé. Fait dans un cadre contrôlé  Fait par des professionnels entraînés dans un cadre supervisé. Ne pas reproduire.  If you are the owner of this video, please contact me at remi@fitness-muscu.com, and i will remove the video   This video follows the fair use guidelines imposed by my country (France) and any false copyright strike will be contested in the French court system.    Remarque : cette vidéo est réalisée à des fins éducatives uniquement, tout le monde est en sécurité.  Remarque : cette vidéo a été réalisée par un professionnel ; NE TENTEZ PAS DE LA REPRODUIRE.  Remarque : tout le monde est en sécurité.  Remarque : tout cela a été mis en scène.    🎬 Visuels : ©Propriétaire de la vidéo    🎙️ Narration, scénario : @fitness-muscu.    Remarque :    Si vous avez des questions concernant cette vidéo, qu'il s'agisse d'un problème de droits d'auteur ou d'une demande de suppression, n'hésitez pas à nous contacter à l'adresse  ((( )))  ⚖️ Clause de responsabilité légale    En vertu de l'article 107 de la loi de 1976 sur le droit d'auteur, l'« usage loyal » est autorisé à des fins telles que le commentaire, la critique, le reportage d'actualité, l'enseignement et la recherche. Cette disposition soutient l'utilisation à des fins éducatives, informatives et non commerciales",PT18S,fr,735241,35812,2026-01-18T19:53:18Z
Autos & Vehicles,2,82_jyVgrAoA,mercedes e63 amg #automobile #conseilsauto #fredcars38,FREDCARS,UC4cgnFixk4xtuhNrljwLQEg,,PT1M2S,fr,953306,23695,2026-01-16T17:40:57Z
Autos & Vehicles,2,2gjhTTQMnbo,Clio 5 : une voiture victime de son succès,M6 Info,UC3Sk_YpjPd_Lz_oPQfhPQXQ,"Une internaute a partagé sur ses réseaux sociaux le vol de pièces détachées qu'elle a subi sur sa Clio 5. Malheureusement, elle n'est clairement pas la seule dans ce cas puisque la Clio 5 étant la voiture la plus vendue en 2025, la demande de pièces détachées augmente et les vols aussi.   🔔 Abonnez-vous à notre chaîne https://youtube.com/@M6Info/?sub_confirmation=  💡 L’actualité avec #M6info sur vos réseaux sociaux : https://www.tiktok.com/@M6info_ https://www.facebook.com/M6info https://www.instagram.com/M6info/ https://www.linkedin.com/company/M6info/ https://story.snapchat.com/p/1af4c627-edeb-4155-a04a-95e6732af0a3 💻 Le #12h45 et le #19h45 sur M6+ : https://www.m6.fr/le-1945-p_1058",PT42S,fr-FR,342587,7722,2026-01-20T06:00:06Z
Autos & Vehicles,2,k5h2G_GCyxI,🔴 INSOLITE |  BASTON DE VOITURE ! 💥🚗Deux CONDUCTRICES #funny #partage #pourtoi,CLAPUCHKAPLAY,UCGWa2iNqc5SN39lGVLTADfg,,PT1M,fr,1202703,11462,2026-01-16T16:19:50Z
Autos & Vehicles,2,LYI8Kp2xaQ0,We all have that 1 friend who drives like this #nürburgring #nordschleife #m3 #touring #epicsave,LongStoryShort,UCVodH2FJmsxK9OTTkAadOkw,,PT16S,en,4918250,96851,2026-01-16T10:33:03Z
Autos & Vehicles,2,WTh7ZurxSlg,Dépannage insolite #voiture  #insolite,Salade Univers,UCEnxNA6ShJ5eRv2F96sTz6w,Dépannage insolite #voiture  #insolite,PT1M3S,fr,866968,12669,2026-01-14T21:38:34Z
Autos & Vehicles,2,bZrSOA1BXmQ,Le tracteur contre la sans-permis !! 😂 #dashcam #automobile #france #route #shorts #voiture,DashCam France ,UCxffcY0ozHJa7V2f8xOTy2Q,,PT13S,fr,261445,7228,2026-01-17T10:53:15Z
Autos & Vehicles,2,EJUImxUD3OM,👀 She just DID THIS with a Porsche!? 🤯,Hollywood Garage,UCjARrDS3EWozklenXT0HD8w,"Watch the epic move and see how a true main character makes an entrance. Luxury cars, cinematic vibes, and pure adrenaline — you don’t want to miss this!  #Porsche #CarGoals #MainCharacterEnergy #LuxuryCars #EpicEntrance #CarLife #ViralCars #SupercarMoments #Shorts #CarShorts #AutoLifestyle #CinematicCars #CrazyCarMoves #TikTokCars #YouTubeShorts",PT10S,en,3479051,70481,2026-01-17T00:22:55Z
Autos & Vehicles,2,9nK9jOVtMlM,8 astuces de vélo que chaque passionné doit connaître!,Fascinologie,UCM6kj6U9lFDrK0-bRenKATQ,"Chaque passionné de vélo devrait connaître ces 8 astuces pour faciliter l’entretien et améliorer votre expérience de ride ! Lubrifiez votre vélo, ajustez votre selle, sécurisez vos freins, créez un garde-boue maison et bien plus. Des conseils simples et pratiques que vous pouvez appliquer dès aujourd’hui.  N’oubliez pas de liker et de vous abonner pour plus de hacks vélo !",PT1M8S,fr,741048,15379,2026-01-15T19:09:30Z
Autos & Vehicles,2,C1ARog_p7gg,Old Speed Would Not Hesitate 💀🤣 #ishowspeed #speed #edit,Ironaldox,UCYRrP22txtZdPr7t2IxkR9w,Old Speed Would Not Hesitate 💀🤣 #ishowspeed #speed #edit,PT30S,en,12846233,270004,2026-01-17T20:49:13Z
